,nickname,text,score,like,dislike,time,watch_movie
0,hj34****,제가야구를좋아하는데 이영화 진짜재밌네요,10,90,24,2013-04-25 08:00:00,0
1,웃프고(want****),속 깊은 의미 다 쓰진 못하지만 멋진 영화 잘 봤습니다,10,71,23,2013-10-31 17:52:00,0
2,조충만(djse****),청각 장애인들이 보기에 너무나 좋고 청각 장애인들이 보기에도 힘이 되고 이제 꿈을 펼칠 아이들에게 야구의 소망이 있는 사람에게도 좋은 영화라고 생각합니다.,10,57,20,2015-01-20 01:12:00,0
3,루피(xx41****),영화 자체는 괜찮은데 로맨스를 왜 넣지?,8,91,62,2014-02-12 15:59:00,0
4,vhin****,"상대팀 감독이 수긍하여 자리를 비켜주는 것, 이 사회가  정도를 잃지 않는다면 아픔도 보듬을 수 있지 않을까요.",9,40,12,2014-11-19 14:58:00,0
5,ㄱ(ikas****),뭐가 어찌됐든 야구 관련 영화가 앞으로도 많이 나왔으면 좋겠다. 한국에도 나중에 꿈의 구장같은 영화가 나올 날이 있겠지?,7,51,23,2013-08-28 23:30:00,0
6,서기석이(tjrd****),진짜감동적입니다.,10,32,14,2015-01-19 18:59:00,0
7,맛남텔레콤(yes2****),영화관에서도 봤을때는 단지 재미있게 봤는데 티비로 밥먹으면서 보다가 울었네요ㅜ,10,25,13,2014-08-07 12:05:00,0
8,SIN(stem****),강우석 감독님이 무엇을 이야기하고자 이 영화를 만든 것인지 한번 상기시키고  보았다. 억지 감동을 이끌고자 중간중간 뻔한 구성과 연출은 많았지만 감동도 그 일반적인 구성속에서도 충분히 나온다고 생각한다. 로맨스 빼고...,8,22,14,2014-05-11 22:19:00,0
9,ourb****,이영화를 보고 가슴을 치지않는다면 니미 뽕이다..,10,21,14,2012-08-28 07:15:00,0
10,htsc****,재미잇었는 데 감동과 짜임새있는 시나리오 연출  즐겁게 잘 봤습니다 ㅎㅎㅎ,9,18,13,2013-04-22 20:42:00,0
11,아이빔(kiso****),감동 그 자체입니다. 후회 없는 영화,10,4,0,2016-08-15 01:37:00,0
12,라비크(s206****),진심으로 이기기 위한 ...눈빛...자기가 흘린 땀만 믿어라.. 나는 도대체  무얼 믿고 의지하며 살아 왔는지...생각하는  영화이다...,10,4,0,2016-08-15 01:00:00,0
13,smc1****,1점주는 놈들 영화계의수치다,10,4,0,2013-01-27 17:07:00,0
14,현이파파(ribo****),이만하면 감동적인 영화,10,3,0,2016-08-15 01:26:00,0
15,박준권(8601****),학생들 가르치면서 삽니다. 개봉당시 초보 강사였고 영화관에서 보며 억지감동만을 생각하며 별로라 생각했는데.. 애들 가르친지 10년차가 되고 애들때문에 행복하고 애먹고 힘들고 또 웃다보니 이 영화가 달라져있네요. 잘 ...,10,2,0,2020-07-31 04:29:00,0
16,소망(bld_****),요즘 정말 잘만들었지만 흥행이 잘안됐거나 잘알려지지 않은 영화 찾아보고 있는데 저에게 이영화는 제마음속 흥행 Top5입니다. 너무 감동적이었고 특히 정재영씨가 청각장애가진 아이들에게 귀가 아닌 가슴으로 소리를 들으라...,10,2,0,2020-05-02 00:27:00,0
17,영광군의레이서(jiks****),영화가 주는 감동은 관객 누구나 똑같이 느껴야한다는 강우석의 의무감 혹은 강박.,6,2,0,2020-04-15 05:17:00,0
18,이채원(lcw5****),되게 감동적이고 재밌음 굿,10,2,0,2019-08-29 19:13:00,0
19,뭘봐(dbwh****),감동적이다.. 본 야구영화중에선 제일 인상깊게봤네요,10,2,0,2016-08-15 01:41:00,0
20,사랑이(chea****),애들 참 이쁘다. 귀엽다.. 상고 얘들도 이쁘고. 참 예쁘다.  (연애도 이정도면 애교로 넘어가지던데?)  그저 참 이쁘다.,9,2,0,2016-08-15 01:25:00,0
21,짜장면(ztf4****),러브스토리를 왜집어넣녜ㅋㅋ 아주 미묘하게 나오는구만 뭐가 그리 불편하냐ㅋ,10,1,0,2020-02-17 18:10:00,0
22,SDG(phea****),뻔하지만 열정적인 모습이 보기 좋더라,7,1,0,2017-04-02 15:49:00,0
23,Present(rkfk****),감동적이네요ㅠㅠㅠ,10,1,0,2013-01-31 14:00:00,0
24,니코틴(bloo****),역시 강우석이  강우석이구나. 이토록 뻔하고 진부한 영화로 쥐어짜는데도 감정이 움직이는걸 보면. 이런류 자주 접하지 못했다면 엄청 괜찮을께다,8,1,0,2012-12-27 03:04:00,0
25,김동윤(dyki****),그들은 소리가 없지만...,6,2,1,2018-11-28 12:44:00,0
26,casillswon(wons****),이정도면 괜찮은 영화인듯 다시봤는데 오글거리고 내용은뻔하지만 요즘 이렇게 뻔한것도 나이드니까 잼나네ㅋ,8,3,2,2018-04-03 11:16:00,0
27,길을여는바람(civi****),그당시에는 상당히 재밋었는데다시 보니 오글거리는 부분이 있네요 ;;그래도..유선씨 너무 좋네요,8,0,0,2020-11-01 13:05:00,0
28,Da다다다(nina****),오늘 넷플릭스에서 기대안하고 봤는데 눈물 펑펑 흘리며 재밌게 봤어요 배우분들 주연 조연 모두 다 인상깊었어요!,10,0,0,2020-10-18 23:58:00,0
29,난 천재(cksd****),,10,0,0,2020-10-04 12:48:00,0
30,해피바이러스(nike****),아 눈물이 나 죽것네요 감동이 있네요,10,0,0,2020-09-17 00:37:00,0
31,우중필주(dark****),,10,0,0,2020-09-08 00:54:00,0
