terms,pos,type,count
!,Punctuation,네이버,43
!!,Punctuation,네이버,19
!!!,Punctuation,네이버,10
!!!!,Punctuation,네이버,4
!!!!!!!!,Punctuation,네이버,1
!!><,Punctuation,네이버,1
!~~~~,Punctuation,네이버,1
"""",Punctuation,네이버,2
',Punctuation,네이버,3
(,Punctuation,네이버,2
****,Punctuation,네이버,1
*^^*,Punctuation,네이버,1
",",Punctuation,네이버,28
",,",Punctuation,네이버,1
",,,,,",Punctuation,네이버,1
-,Punctuation,네이버,1
.,Punctuation,네이버,132
.',Punctuation,네이버,1
.),Punctuation,네이버,1
..,Punctuation,네이버,78
"..""",Punctuation,네이버,1
...,Punctuation,네이버,50
"...""",Punctuation,네이버,1
....,Punctuation,네이버,6
.....,Punctuation,네이버,3
......,Punctuation,네이버,1
......+.+,Punctuation,네이버,1
.......,Punctuation,네이버,1
.........,Punctuation,네이버,1
............,Punctuation,네이버,1
................,Punctuation,네이버,1
...;;;;,Punctuation,네이버,1
...^^,Punctuation,네이버,1
.^^,Punctuation,네이버,2
1,Number,네이버,2
10,Number,네이버,8
10년,Number,네이버,1
140분,Number,네이버,1
18,Number,네이버,1
2,Number,네이버,1
20분,Number,네이버,1
2시간,Number,네이버,1
3,Number,네이버,8
30,Number,네이버,1
5,Number,네이버,3
5~6시간,Number,네이버,1
6,Number,네이버,1
7,Number,네이버,1
98,Number,네이버,1
;,Punctuation,네이버,1
;;,Punctuation,네이버,2
><,Punctuation,네이버,1
?,Punctuation,네이버,17
?),Punctuation,네이버,1
??,Punctuation,네이버,1
G,Alpha,네이버,3
GLove,Alpha,네이버,1
LOVE,Alpha,네이버,2
Love,Alpha,네이버,1
NO,Alpha,네이버,1
TV,Alpha,네이버,2
Top,Alpha,네이버,1
YES,Alpha,네이버,1
^^,Punctuation,네이버,15
good,Alpha,네이버,3
mftr,Alpha,네이버,1
nalay,Alpha,네이버,1
tv,Alpha,네이버,1
x,Alpha,네이버,1
~,Punctuation,네이버,23
~!,Punctuation,네이버,6
~!!,Punctuation,네이버,1
~!^^,Punctuation,네이버,1
~^^,Punctuation,네이버,2
~~,Punctuation,네이버,1
~~!!!,Punctuation,네이버,1
~~!!!!!!!!!!!!!!,Punctuation,네이버,1
~~~!,Punctuation,네이버,1
~~~~!,Punctuation,네이버,1
~~~~~,Punctuation,네이버,3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,Punctuation,네이버,1
♡,Foreign,네이버,1
♡♡,Foreign,네이버,1
♥,Foreign,네이버,4
ㅄ,KoreanParticle,네이버,1
ㅅㅅ,KoreanParticle,네이버,1
ㅇㅇ,KoreanParticle,네이버,1
ㅈㄴ,KoreanParticle,네이버,1
ㅋ,KoreanParticle,네이버,11
ㅋㅋ,KoreanParticle,네이버,10
ㅋㅋㅋ,KoreanParticle,네이버,1
ㅋㅋㅋㅋㅋㅋ,KoreanParticle,네이버,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,KoreanParticle,네이버,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,KoreanParticle,네이버,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,KoreanParticle,네이버,1
ㅎ,KoreanParticle,네이버,1
ㅎㅎ,KoreanParticle,네이버,9
ㅎㅎㅎ,KoreanParticle,네이버,1
ㅜ,KoreanParticle,네이버,5
ㅜㅜ,KoreanParticle,네이버,7
ㅜㅜㅜ,KoreanParticle,네이버,2
ㅜㅜㅜㅜㅜㅜ,KoreanParticle,네이버,1
ㅜㅠ,KoreanParticle,네이버,2
ㅠ,KoreanParticle,네이버,14
ㅠㅜ,KoreanParticle,네이버,3
ㅠㅠ,KoreanParticle,네이버,28
ㅠㅠㄱㄱ,KoreanParticle,네이버,1
ㅠㅠㅠ,KoreanParticle,네이버,3
ㅠㅠㅠㅠ,KoreanParticle,네이버,4
ㅠㅠㅠㅠㅠ,KoreanParticle,네이버,2
ㅠㅠㅠㅠㅠㅠ,KoreanParticle,네이버,2
ㅡㅜ,KoreanParticle,네이버,1
ㅡㅡ,KoreanParticle,네이버,1
ㅣ,KoreanParticle,네이버,1
가,Josa,네이버,41
가는데,Verb,네이버,1
가득,Noun,네이버,1
가르치면서,Verb,네이버,1
가르친지,Verb,네이버,1
가본,Verb,네이버,1
가서,Verb,네이버,1
가설,Noun,네이버,1
가슴,Noun,네이버,16
가슴속,Noun,네이버,1
가야,Noun,네이버,1
가장,Noun,네이버,1
가족,Noun,네이버,4
가진,Verb,네이버,1
간만,Noun,네이버,4
간지,Noun,네이버,1
감,Noun,네이버,1
감도,Verb,네이버,1
감독,Noun,네이버,10
감동,Noun,네이버,261
감명,Noun,네이버,3
감사,Noun,네이버,1
감성,Noun,네이버,2
감수성,Noun,네이버,1
감은,Verb,네이버,1
감정,Noun,네이버,6
감흥,Noun,네이버,1
갑니다,Verb,네이버,1
값진,Adjective,네이버,3
강,Noun,네이버,1
강박,Noun,네이버,1
강사,Noun,네이버,1
강우석,Noun,네이버,7
강철중,Noun,네이버,1
강추,Noun,네이버,5
갖지,Verb,네이버,1
같네요,Adjective,네이버,1
같당,Adjective,네이버,1
같아요,Adjective,네이버,6
같았는데,Adjective,네이버,1
같에요,Adjective,네이버,1
같은,Adjective,네이버,4
같은걸,Adjective,네이버,1
같은데,Adjective,네이버,1
같이,Adverb,네이버,2
같지만,Adjective,네이버,1
개,Noun,네이버,2
개굿,Noun,네이버,1
개그,Noun,네이버,1
개돼지,Noun,네이버,1
개드립,Noun,네이버,1
개봉,Noun,네이버,2
갠,Noun,네이버,1
걍,Adverb,네이버,2
거,Noun,네이버,12
거기,Noun,네이버,2
거렸,Noun,네이버,1
거실,Noun,네이버,1
거의,Noun,네이버,2
거창하지,Adjective,네이버,1
거침,Verb,네이버,1
건,Noun,네이버,1
건가,Noun,네이버,1
건네는,Verb,네이버,1
건지,Verb,네이버,1
걸,Noun,네이버,1
걸리,Foreign,네이버,1
것,Noun,네이버,16
겉,Noun,네이버,1
게,Josa,네이버,6
게,Noun,네이버,3
게다가,Noun,네이버,1
겨운,Verb,네이버,1
견,Noun,네이버,1
결말,Noun,네이버,8
겸,Noun,네이버,1
경기,Noun,네이버,3
경쟁,Noun,네이버,1
계속,Noun,네이버,1
고,Josa,네이버,3
고간,Noun,네이버,1
고등학교,Noun,네이버,4
고딴,Modifier,네이버,1
고생,Noun,네이버,1
고의,Noun,네이버,1
공감,Noun,네이버,1
공안,Noun,네이버,1
과,Josa,네이버,18
과잉,Noun,네이버,1
과장,Noun,네이버,1
관객,Noun,네이버,2
관련,Noun,네이버,1
괜찮게,Adjective,네이버,1
괜찮더라,Adjective,네이버,1
괜찮았다,Adjective,네이버,3
괜찮았던,Adjective,네이버,1
괜찮은,Adjective,네이버,3
괜찮은데,Adjective,네이버,1
괜찮을께다,Adjective,네이버,1
굉장히,Adjective,네이버,1
교감,Noun,네이버,1
교훈,Noun,네이버,1
구,Modifier,네이버,1
구를,Verb,네이버,1
구성,Noun,네이버,1
구속,Noun,네이버,1
구장,Noun,네이버,1
군산상고,Noun,네이버,1
굳,Adjective,네이버,9
굳으,Adjective,네이버,1
굿,Noun,네이버,11
굿굿,Noun,네이버,1
굿굿굿굿굿,Noun,네이버,1
귀가,Noun,네이버,1
귀엽고,Adjective,네이버,1
귀엽다,Adjective,네이버,1
그,Determiner,네이버,5
그,Noun,네이버,6
그거,Noun,네이버,1
그걸,Adverb,네이버,1
그것,Noun,네이버,2
그게,Noun,네이버,2
그냥,Noun,네이버,3
그닥,Noun,네이버,1
그래,Adjective,네이버,1
그래도,Adverb,네이버,6
그랬지만,Adjective,네이버,1
그러나,Conjunction,네이버,1
그러면,Adverb,네이버,1
그런,Adjective,네이버,2
그런,Modifier,네이버,4
그런지,Adjective,네이버,1
그럼,Adjective,네이버,1
그렇고,Adjective,네이버,1
그렇지,Adjective,네이버,1
그려내지,Verb,네이버,1
그리,Verb,네이버,2
그리고,Conjunction,네이버,4
그리고라는,Verb,네이버,1
그만,Adverb,네이버,2
그저,Adverb,네이버,2
극장,Noun,네이버,1
근데,Adverb,네이버,3
글,Noun,네이버,2
글러브,Noun,네이버,2
글썽,Noun,네이버,1
글쎄,Noun,네이버,1
긍정,Noun,네이버,1
기,Modifier,네이버,3
기,Noun,네이버,1
기기,Noun,네이버,1
기대,Noun,네이버,3
기대하고,Adjective,네이버,1
기도,Noun,네이버,4
기쁩니다,Adjective,네이버,1
기억,Noun,네이버,1
긴,Verb,네이버,3
긴장,Noun,네이버,1
길,Noun,네이버,1
길고,Adjective,네이버,1
길다,Adjective,네이버,1
깊게,Adjective,네이버,3
깊었다,Adjective,네이버,1
깊었어요,Adjective,네이버,1
깊은,Adjective,네이버,2
깊이,Noun,네이버,1
까요,Verb,네이버,1
까지는,Josa,네이버,1
깨,Noun,네이버,1
깨끗한,Adjective,네이버,1
깨알,Noun,네이버,1
깨워,Verb,네이버,1
껍데기,Noun,네이버,1
께,Josa,네이버,1
꼭,Noun,네이버,3
꼰대,Noun,네이버,1
꽤,Noun,네이버,1
꾹,Noun,네이버,1
꿇엇을데,Noun,네이버,1
꿈,Noun,네이버,2
끄리,Noun,네이버,1
끊어야,Verb,네이버,1
끌더군요,Verb,네이버,1
끝,Noun,네이버,1
끝내기,Noun,네이버,1
나,Josa,네이버,5
나,Noun,네이버,4
나고,Verb,네이버,1
나눠,Verb,네이버,1
나는걸,Verb,네이버,1
나는대,Verb,네이버,1
나름,Noun,네이버,3
나머지,Noun,네이버,1
나쁘지,Adjective,네이버,1
나서,Verb,네이버,1
나아요,Verb,네이버,1
나오네,Verb,네이버,1
나오넹,Noun,네이버,1
나오는구만,Verb,네이버,1
나온다,Verb,네이버,1
나온다고,Verb,네이버,1
나올,Verb,네이버,1
나왔네요,Verb,네이버,1
나왔으면,Verb,네이버,1
나이,Noun,네이버,1
나중,Noun,네이버,1
난,Noun,네이버,2
날,Noun,네이버,2
날려고,Verb,네이버,1
남,Noun,네이버,1
남극,Noun,네이버,1
남김,Verb,네이버,1
남는게,Verb,네이버,1
남는다,Verb,네이버,1
남습니다,Verb,네이버,1
남자,Noun,네이버,4
납니다,Verb,네이버,1
났습니다,Verb,네이버,1
났지만,Verb,네이버,1
낯설어서,Adjective,네이버,1
내,Determiner,네이버,1
내,Noun,네이버,6
내내,Noun,네이버,2
내릴,Verb,네이버,1
내용,Noun,네이버,8
낸,Verb,네이버,2
냄새,Noun,네이버,1
너무,Adverb,네이버,38
너무나,Adverb,네이버,1
넘,Verb,네이버,4
넘어가는,Verb,네이버,1
넘어가지던데,Verb,네이버,1
넘치는,Adjective,네이버,1
넣은,Verb,네이버,1
넣지,Verb,네이버,1
네,Josa,네이버,1
네,Suffix,네이버,8
네티즌,Noun,네이버,1
넷플릭스,Noun,네이버,1
녜,Noun,네이버,1
노력,Noun,네이버,4
놈,Noun,네이버,3
높게주시네요,Adjective,네이버,1
누구,Noun,네이버,2
눈,Noun,네이버,1
눈길,Noun,네이버,1
눈물,Noun,네이버,39
눈물나게,Verb,네이버,1
눈물나네요,Verb,네이버,1
눈물나는,Verb,네이버,2
눈물나와,Verb,네이버,1
눈물난다,Verb,네이버,1
눈물났음,Verb,네이버,2
눈빛,Noun,네이버,1
눈애,Noun,네이버,1
느껴,Verb,네이버,1
느껴져,Verb,네이버,1
느껴지긴,Verb,네이버,1
느껴지는,Verb,네이버,2
느껴지지,Verb,네이버,1
느껴집니다,Verb,네이버,1
느꼈다,Verb,네이버,1
느끼,Verb,네이버,1
느끼게,Verb,네이버,2
느끼세요,Verb,네이버,1
느낄수있음,Verb,네이버,1
느낌,Noun,네이버,5
느냐가,Verb,네이버,1
는,Josa,네이버,32
는데,Verb,네이버,1
는데다시,Verb,네이버,1
늘,Noun,네이버,1
