type	text
네이버	제가야구를좋아하는데 이영화 진짜재밌네요
네이버	속 깊은 의미 다 쓰진 못하지만 멋진 영화 잘 봤습니다
네이버	청각 장애인들이 보기에 너무나 좋고 청각 장애인들이 보기에도 힘이 되고 이제 꿈을 펼칠 아이들에게 야구의 소망이 있는 사람에게도 좋은 영화라고 생각합니다.
네이버	영화 자체는 괜찮은데 로맨스를 왜 넣지?
네이버	상대팀 감독이 수긍하여 자리를 비켜주는 것, 이 사회가  정도를 잃지 않는다면 아픔도 보듬을 수 있지 않을까요.
네이버	뭐가 어찌됐든 야구 관련 영화가 앞으로도 많이 나왔으면 좋겠다. 한국에도 나중에 꿈의 구장같은 영화가 나올 날이 있겠지?
네이버	진짜감동적입니다.
네이버	영화관에서도 봤을때는 단지 재미있게 봤는데 티비로 밥먹으면서 보다가 울었네요ㅜ
네이버	강우석 감독님이 무엇을 이야기하고자 이 영화를 만든 것인지 한번 상기시키고  보았다. 억지 감동을 이끌고자 중간중간 뻔한 구성과 연출은 많았지만 감동도 그 일반적인 구성속에서도 충분히 나온다고 생각한다. 로맨스 빼고...
네이버	이영화를 보고 가슴을 치지않는다면 니미 뽕이다..
네이버	재미잇었는 데 감동과 짜임새있는 시나리오 연출  즐겁게 잘 봤습니다 ㅎㅎㅎ
네이버	감동 그 자체입니다. 후회 없는 영화
네이버	진심으로 이기기 위한 ...눈빛...자기가 흘린 땀만 믿어라.. 나는 도대체  무얼 믿고 의지하며 살아 왔는지...생각하는  영화이다...
네이버	1점주는 놈들 영화계의수치다
네이버	이만하면 감동적인 영화
네이버	학생들 가르치면서 삽니다. 개봉당시 초보 강사였고 영화관에서 보며 억지감동만을 생각하며 별로라 생각했는데.. 애들 가르친지 10년차가 되고 애들때문에 행복하고 애먹고 힘들고 또 웃다보니 이 영화가 달라져있네요. 잘 ...
네이버	요즘 정말 잘만들었지만 흥행이 잘안됐거나 잘알려지지 않은 영화 찾아보고 있는데 저에게 이영화는 제마음속 흥행 Top5입니다. 너무 감동적이었고 특히 정재영씨가 청각장애가진 아이들에게 귀가 아닌 가슴으로 소리를 들으라...
네이버	영화가 주는 감동은 관객 누구나 똑같이 느껴야한다는 강우석의 의무감 혹은 강박.
네이버	되게 감동적이고 재밌음 굿
네이버	감동적이다.. 본 야구영화중에선 제일 인상깊게봤네요
네이버	애들 참 이쁘다. 귀엽다.. 상고 얘들도 이쁘고. 참 예쁘다.  (연애도 이정도면 애교로 넘어가지던데?)  그저 참 이쁘다.
네이버	러브스토리를 왜집어넣녜ㅋㅋ 아주 미묘하게 나오는구만 뭐가 그리 불편하냐ㅋ
네이버	뻔하지만 열정적인 모습이 보기 좋더라
네이버	감동적이네요ㅠㅠㅠ
네이버	역시 강우석이  강우석이구나. 이토록 뻔하고 진부한 영화로 쥐어짜는데도 감정이 움직이는걸 보면. 이런류 자주 접하지 못했다면 엄청 괜찮을께다
네이버	그들은 소리가 없지만...
네이버	이정도면 괜찮은 영화인듯 다시봤는데 오글거리고 내용은뻔하지만 요즘 이렇게 뻔한것도 나이드니까 잼나네ㅋ
네이버	그당시에는 상당히 재밋었는데다시 보니 오글거리는 부분이 있네요 ;;그래도..유선씨 너무 좋네요
네이버	오늘 넷플릭스에서 기대안하고 봤는데 눈물 펑펑 흘리며 재밌게 봤어요 배우분들 주연 조연 모두 다 인상깊었어요!
네이버	아 눈물이 나 죽것네요 감동이 있네요
네이버	유선 ㅈㄴ이쁘네...
네이버	감동적인 영화. 유선 이쁘넹~^^
네이버	이런 영화 진부하지만 볼만한 감동이었다..유선 이뿌게 나오넹
네이버	영화 너무 감동 감동 감동 감동 감동
네이버	보는 내내 순간순간 마음을 울컥하게해서 3번 눈물이 났습니다 감동적이에요ㅠ
네이버	뻔하게 흘러가지만 스포츠만이 줄 수 있는 감동
네이버	최고!!
네이버	감독의 능력과 배우의 연기가 대단하내요*^^* 굿~~~!
네이버	ㅋ
네이버	너무재미있었요
네이버	고등학교야구의 현실적 표현으로 관객들을 울게만든 영화.
네이버	억지로 감정을 쥐어짠다고  현학적으로 영화평 찌끄리는 것들이 많구나.하지만 흘러내리는 눈물은 어쩔수없다.
네이버	너무 감명깊게 봤습니다.
네이버	아.. 정말 명작이에요.. 이거 보면서 얼마나 울었는지...청각장애인 선수들이 보여주는 우정과 경기는 정말 최고입니다
네이버	감명깊게봤어요 충주성심학교여러분 힘내세요
네이버	3할을 원하느냐 30홈런을 원하느냐! 98숀헤어 만세!
네이버	스포츠영화가 이젠............
