terms,pos,type,count
!,Punctuation,네이버,16
!!,Punctuation,네이버,4
!!!!,Punctuation,네이버,1
!.,Punctuation,네이버,1
"""",Punctuation,네이버,4
',Punctuation,네이버,11
(,Punctuation,네이버,5
),Punctuation,네이버,4
"),",Punctuation,네이버,1
+,Punctuation,네이버,2
",",Punctuation,네이버,88
",,",Punctuation,네이버,3
",,,",Punctuation,네이버,1
",..",Punctuation,네이버,1
-,Punctuation,네이버,2
.,Punctuation,네이버,415
".""",Punctuation,네이버,1
".,..",Punctuation,네이버,1
..,Punctuation,네이버,120
...,Punctuation,네이버,126
....,Punctuation,네이버,19
.....,Punctuation,네이버,2
...?.,Punctuation,네이버,1
..?,Punctuation,네이버,3
1,Number,네이버,9
10,Number,네이버,5
100,Number,네이버,1
100년,Number,네이버,1
12시,Number,네이버,1
130분,Number,네이버,1
130억,Number,네이버,1
131분,Number,네이버,1
15,Number,네이버,33
19,Number,네이버,26
1분,Number,네이버,1
1시간,Number,네이버,2
2019.6,Number,네이버,1
2시간,Number,네이버,2
35분,Number,네이버,1
40년,Number,네이버,1
7,Number,네이버,1
7.5,Number,네이버,1
8시,Number,네이버,1
9,Number,네이버,2
99,Number,네이버,1
:,Punctuation,네이버,5
;;,Punctuation,네이버,4
;;;,Punctuation,네이버,1
<,Punctuation,네이버,2
>,Punctuation,네이버,2
?,Punctuation,네이버,63
??,Punctuation,네이버,4
???,Punctuation,네이버,1
@,Punctuation,네이버,1
CGV,Alpha,네이버,1
Good,Alpha,네이버,1
I,Alpha,네이버,1
JTBC,Alpha,네이버,1
Lg,Alpha,네이버,1
OOO,Alpha,네이버,1
PPL,Alpha,네이버,1
The,Alpha,네이버,1
^^,Punctuation,네이버,2
a,Alpha,네이버,1
cj,Alpha,네이버,2
pretend,Alpha,네이버,1
~,Punctuation,네이버,17
~^^,Punctuation,네이버,1
~~,Punctuation,네이버,1
‘,Foreign,네이버,3
’,Punctuation,네이버,1
“,Foreign,네이버,1
”,Foreign,네이버,1
ㄷ,KoreanParticle,네이버,1
ㄷㄷ,KoreanParticle,네이버,1
ㅂㅅ,KoreanParticle,네이버,1
ㅈ,KoreanParticle,네이버,1
ㅉㅉ,KoreanParticle,네이버,3
ㅋ,KoreanParticle,네이버,1
ㅋㅋ,KoreanParticle,네이버,6
ㅋㅋㅋ,KoreanParticle,네이버,6
ㅋㅋㅋㅋ,KoreanParticle,네이버,3
ㅎ,KoreanParticle,네이버,2
ㅎㅎ,KoreanParticle,네이버,3
ㅎㅎㅎㅎ,KoreanParticle,네이버,1
ㅜㅜ,KoreanParticle,네이버,2
ㅠ,KoreanParticle,네이버,2
ㅠㅠ,KoreanParticle,네이버,4
ㅡ,KoreanParticle,네이버,1
ㅡㅡ,KoreanParticle,네이버,3
ㅣ,KoreanParticle,네이버,1
ㆍ,Foreign,네이버,1
가,Josa,네이버,152
가,Verb,네이버,6
가감,Noun,네이버,1
가고,Verb,네이버,2
가관,Noun,네이버,1
가구,Noun,네이버,1
가까이,Noun,네이버,1
가난,Noun,네이버,28
가난하다고,Adjective,네이버,2
가난하다는,Adjective,네이버,2
가난하면,Adjective,네이버,4
가난한,Adjective,네이버,13
가난해,Adjective,네이버,1
가난해도,Adjective,네이버,2
가는,Verb,네이버,5
가는건,Verb,네이버,1
가는줄,Verb,네이버,1
가능성,Noun,네이버,1
가능하다면,Adjective,네이버,1
가능한가,Adjective,네이버,1
가담,Noun,네이버,1
가득,Noun,네이버,2
가득한,Adjective,네이버,1
가라,Noun,네이버,1
가량,Noun,네이버,1
가려서,Verb,네이버,1
가로지를,Verb,네이버,1
가르기만,Verb,네이버,1
가를,Verb,네이버,1
가리고,Verb,네이버,1
가면,Noun,네이버,1
가볍게,Adjective,네이버,4
가부장제,Noun,네이버,1
가사,Noun,네이버,2
가서,Verb,네이버,4
가슴,Noun,네이버,10
가식,Noun,네이버,2
가요,Noun,네이버,2
가장,Noun,네이버,4
가장이,Noun,네이버,1
가정,Noun,네이버,5
가정부,Noun,네이버,6
가족,Noun,네이버,28
