,nickname,text,score,like,dislike,time,watch_movie
0,wche****,'그래도 우리 잘 해냈지?'라고 말하는 듯한 마지막 눈빛교환이 잊혀지질 않는다,9,13147,885,2016-12-07 10:48:00,0
1,우훌루후후(dngk****),"와..그냥 감탄밖엔 안 나온다. 영상미며 음악이며..조폭, 건달, 검사, 신파 좋아하고 실험을 꺼리는 한국의 기성 영화인들 반성해라. 이제 겨우 두 편 만든 신인감독이 이 정도다",9,9145,1103,2016-12-07 08:57:00,0
2,유인나연(ssss****),처음 들을때는 몰랐다 이 음악이 슬퍼질거란걸,7,8118,498,2016-12-07 11:20:00,0
3,Casofhjkl(kidi****),"꿈과 사랑, 우리는 항상 성공인지 실패인지 평가만 해왔다. 하지만 라라랜드는 말해준다. ""봐! 꿈과 사랑, 그 흔들리는 파도가 얼마나 아름다운지""",10,7121,429,2016-12-07 01:23:00,0
4,키돌(doon****),마지막 회상신에서 처음과 달리 키스신으로 스토리시작될때 진짜 소리지를뻔...,9,6576,401,2016-12-07 19:19:00,0
5,쇼생크 탈출(chri****),내일 죽으면 오늘 보러 갈만한 영화,10,7238,1516,2016-12-07 00:16:00,0
6,fsli****,마지막 10분 동안 휘몰아치는 감정의 소용돌이에 결국 눈물이 흐르게 만드는 마법같은 영화. 노트북 때에도 그렇고 라이언 고슬링은 이런 역할에 도가 튼 것 같다.,10,5913,293,2016-12-07 05:48:00,0
7,gracie(dhff****),연인들을 위한 영화가 아니다. 여성관객들을 위한 영화도 아니다. 이 영화는 꿈꾸는 모든 이들을 위한 영화. 인생을 논하는 영화.,10,5867,280,2016-12-08 16:27:00,관람객
8,김유리(dbsl****),운행종료한 놀이공원에 노래가 계속 나오는 것같다.,10,4846,137,2016-12-10 15:53:00,관람객
9,hard****,재즈가 이토록 설레고 이렇게 슬프다니.라라랜드는 슬픔과 환희의 설레임이다.,10,4289,282,2016-12-07 12:11:00,관람객
10,Joon(chro****),"이 영화의 백미는 마지막 부분에 남녀 주인공들의 IF 장면들... 이렇게 되지 못한 결말을 맞지만 그래도 서로의 꿈을 이루고 인정하는 듯한 둘만의 미소,,,, 뭔가 가슴 찡했다...",10,3892,135,2016-12-08 14:55:00,0
11,777(leey****),슬프기 짝이 없는 상상.,7,3339,237,2016-12-07 11:22:00,관람객
12,꿈꾸는하늘(suni****),위플래시가 음악에 대한 광기라면 이 영화는 열정이다. 같은날 개봉되는 삼류 국산영화는 범접조차 할수 없다,10,3500,441,2016-12-07 00:04:00,0
13,pado****,"아이러니컬하게도, 꿈이라는 건 이루고 난 뒤보다 이루기 전까지가 실은 가장 행복했다는 걸, 이루고 난 뒤에야 깨닫는다는 인생의 진실을 가슴 아프게 그리고 아름답게 보여주는 영화",9,2972,70,2016-12-14 11:28:00,관람객
