terms,pos,type,count
,Foreign,네이버,1
!,Punctuation,네이버,10
!!,Punctuation,네이버,2
!!!,Punctuation,네이버,5
!!!!,Punctuation,네이버,1
!',Punctuation,네이버,1
!...,Punctuation,네이버,1
"""",Punctuation,네이버,6
&,Punctuation,네이버,1
',Punctuation,네이버,9
(,Punctuation,네이버,2
),Punctuation,네이버,1
"),",Punctuation,네이버,1
",",Punctuation,네이버,87
",,",Punctuation,네이버,2
",,,",Punctuation,네이버,1
",,,,",Punctuation,네이버,1
-_-,Punctuation,네이버,3
.,Punctuation,네이버,345
..,Punctuation,네이버,126
...,Punctuation,네이버,164
...!,Punctuation,네이버,1
...!!!!,Punctuation,네이버,1
....,Punctuation,네이버,29
.....,Punctuation,네이버,1
....?,Punctuation,네이버,1
....???,Punctuation,네이버,1
...?,Punctuation,네이버,1
0,Number,네이버,1
1,Number,네이버,19
1/10,Number,네이버,1
10,Number,네이버,10
100만,Number,네이버,1
10년,Number,네이버,1
10분,Number,네이버,6
12,Number,네이버,2
127분,Number,네이버,1
17,Number,네이버,1
1년,Number,네이버,2
1시간,Number,네이버,2
1일,Number,네이버,1
2,Number,네이버,1
200,Number,네이버,1
20년,Number,네이버,1
20분,Number,네이버,3
2시간,Number,네이버,3
3,Number,네이버,3
30년,Number,네이버,1
30분,Number,네이버,1
4,Number,네이버,1
40분,Number,네이버,1
5,Number,네이버,2
5년,Number,네이버,5
5분,Number,네이버,2
6.5,Number,네이버,1
7,Number,네이버,1
70년,Number,네이버,1
7년,Number,네이버,1
80년,Number,네이버,2
:,Punctuation,네이버,1
;,Punctuation,네이버,5
;;,Punctuation,네이버,10
;;;,Punctuation,네이버,7
;;;;,Punctuation,네이버,1
=,Punctuation,네이버,1
?,Punctuation,네이버,45
?!,Punctuation,네이버,1
?',Punctuation,네이버,1
?...,Punctuation,네이버,3
??,Punctuation,네이버,4
???,Punctuation,네이버,3
CG,Alpha,네이버,1
IF,Alpha,네이버,1
LA,Alpha,네이버,1
OO,Alpha,네이버,3
OOO,Alpha,네이버,5
OST,Alpha,네이버,1
Ost,Alpha,네이버,1
VIP,Alpha,네이버,1
Waste,Alpha,네이버,1
Winter,Alpha,네이버,1
^^,Punctuation,네이버,3
bitter,Alpha,네이버,1
cg,Alpha,네이버,1
city,Alpha,네이버,1
end,Alpha,네이버,1
la,Alpha,네이버,1
of,Alpha,네이버,2
siva,Alpha,네이버,1
stars,Alpha,네이버,1
sweet,Alpha,네이버,1
the,Alpha,네이버,1
time,Alpha,네이버,1
wast,Alpha,네이버,1
~,Punctuation,네이버,9
~~,Punctuation,네이버,2
~~~,Punctuation,네이버,1
~~~~,Punctuation,네이버,1
‥‥,Foreign,네이버,1
ㄴ,KoreanParticle,네이버,1
ㄷ,KoreanParticle,네이버,1
ㄹㅇ,KoreanParticle,네이버,1
ㅂ,KoreanParticle,네이버,1
ㅅ,KoreanParticle,네이버,1
ㅅㄹㄱ,KoreanParticle,네이버,1
ㅆㄴ,KoreanParticle,네이버,1
ㅆㅆㄹㄱ,KoreanParticle,네이버,1
ㅇ,KoreanParticle,네이버,1
ㅇㅇ,KoreanParticle,네이버,3
ㅈㄴ,KoreanParticle,네이버,2
ㅉㅉ,KoreanParticle,네이버,1
ㅋ,KoreanParticle,네이버,1
ㅋㅋ,KoreanParticle,네이버,9
ㅋㅋㅋ,KoreanParticle,네이버,4
ㅋㅋㅋㅋ,KoreanParticle,네이버,5
ㅎ,KoreanParticle,네이버,2
ㅎㅎ,KoreanParticle,네이버,3
ㅎㅎㅎ,KoreanParticle,네이버,2
ㅏ,KoreanParticle,네이버,1
ㅜ,KoreanParticle,네이버,2
ㅜㅜ,KoreanParticle,네이버,4
ㅜㅜㅜㅜ,KoreanParticle,네이버,1
ㅜㅠㅡ,KoreanParticle,네이버,1
ㅠ,KoreanParticle,네이버,4
ㅠㅠ,KoreanParticle,네이버,7
ㅠㅠㅠ,KoreanParticle,네이버,1
ㅠㅠㅠㅜ,KoreanParticle,네이버,1
ㅡ,KoreanParticle,네이버,3
ㅡㅡ,KoreanParticle,네이버,7
가,Josa,네이버,153
가,Verb,네이버,1
가고,Verb,네이버,3
가길,Verb,네이버,1
가놓고,Verb,네이버,1
가는,Verb,네이버,2
가는데,Verb,네이버,1
가능,Noun,네이버,1
가더,Verb,네이버,1
가득,Noun,네이버,1
가득한,Adjective,네이버,1
가면,Noun,네이버,1
가버린,Verb,네이버,1
가볍게,Adjective,네이버,1
가볍지도,Adjective,네이버,1
가보네요,Verb,네이버,1
가서,Verb,네이버,3
가슴,Noun,네이버,4
가식,Noun,네이버,1
가안,Noun,네이버,1
가왜,Noun,네이버,1
가요,Noun,네이버,1
가자,Verb,네이버,1
가장,Noun,네이버,4
가족,Noun,네이버,1
가지,Noun,네이버,2
가진,Verb,네이버,1
가평,Noun,네이버,1
가하면,Verb,네이버,1
각자,Noun,네이버,4
간,Foreign,네이버,2
간,Suffix,네이버,3
간극,Noun,네이버,1
간다,Noun,네이버,3
간만,Noun,네이버,1
간신히,Adverb,네이버,2
간절히,Adjective,네이버,1
간지,Noun,네이버,1
갈,Verb,네이버,3
갈길,Verb,네이버,2
갈까말까,Adverb,네이버,1
갈등,Noun,네이버,2
갈라다가,Verb,네이버,1
갈려요,Verb,네이버,1
갈리네요,Verb,네이버,2
갈리는,Verb,네이버,4
갈리는듯,Verb,네이버,1
갈리는지,Verb,네이버,1
갈린다,Verb,네이버,1
갈릴,Noun,네이버,3
갈릴듯,Verb,네이버,1
갈만,Verb,네이버,1
갈아,Adverb,네이버,2
갈아타,Verb,네이버,1
갈아타기,Verb,네이버,1
갈아타는,Verb,네이버,1
갈아타다가,Verb,네이버,1
갈아타면서,Verb,네이버,1
감,Noun,네이버,5
감각,Noun,네이버,2
감독,Noun,네이버,13
감동,Noun,네이버,25
감명,Noun,네이버,1
감사,Noun,네이버,1
감사하게,Verb,네이버,1
감성,Noun,네이버,8
감점,Noun,네이버,1
