terms,pos,type,count
!,Punctuation,네이버,23
!!,Punctuation,네이버,6
!!!,Punctuation,네이버,5
!!!!,Punctuation,네이버,1
!!!!~~~~,Punctuation,네이버,1
!~,Punctuation,네이버,1
"""",Punctuation,네이버,7
',Punctuation,네이버,23
"',",Punctuation,네이버,1
(,Punctuation,네이버,2
),Punctuation,네이버,1
+,Punctuation,네이버,4
",",Punctuation,네이버,49
",,",Punctuation,네이버,2
-,Punctuation,네이버,2
.,Punctuation,네이버,222
".""",Punctuation,네이버,2
.',Punctuation,네이버,3
.(,Punctuation,네이버,1
.),Punctuation,네이버,1
..,Punctuation,네이버,75
..!,Punctuation,네이버,1
..!!,Punctuation,네이버,1
"..""",Punctuation,네이버,1
..),Punctuation,네이버,1
...,Punctuation,네이버,59
...!!,Punctuation,네이버,1
...!+,Punctuation,네이버,1
....,Punctuation,네이버,16
"....,",Punctuation,네이버,1
..?,Punctuation,네이버,1
..^^,Punctuation,네이버,1
/.,Punctuation,네이버,1
1,Number,네이버,57
10,Number,네이버,7
10.20,Number,네이버,1
100,Number,네이버,1
100년,Number,네이버,1
10년,Number,네이버,15
10분,Number,네이버,1
11,Number,네이버,1
11년,Number,네이버,15
12,Number,네이버,1
12년,Number,네이버,1
2,Number,네이버,10
2.3,Number,네이버,1
20,Number,네이버,1
2008년,Number,네이버,9
2012년,Number,네이버,1
2019년,Number,네이버,2
20년,Number,네이버,1
26,Number,네이버,1
2년,Number,네이버,1
2시간,Number,네이버,1
3,Number,네이버,8
"3,000",Number,네이버,1
30,Number,네이버,1
3000,Number,네이버,7
300003819299293893029238737382920300만,Number,네이버,1
3000만,Number,네이버,21
30년,Number,네이버,1
30일,Number,네이버,1
4,Number,네이버,4
430만,Number,네이버,1
4월,Number,네이버,1
5,Number,네이버,1
6,Number,네이버,4
7.9,Number,네이버,1
79,Number,네이버,1
8,Number,네이버,2
94%,Number,네이버,1
:,Punctuation,네이버,4
;;,Punctuation,네이버,1
;;;;,Punctuation,네이버,1
=,Punctuation,네이버,2
?,Punctuation,네이버,10
???,Punctuation,네이버,2
A,Alpha,네이버,1
AM,Alpha,네이버,2
Am,Alpha,네이버,2
And,Alpha,네이버,2
CG,Alpha,네이버,1
D,Alpha,네이버,1
HAS,Alpha,네이버,1
HEART,Alpha,네이버,1
Hero,Alpha,네이버,1
I,Alpha,네이버,30
IMDB,Alpha,네이버,1
IRON,Alpha,네이버,3
Iron,Alpha,네이버,9
Ironman,Alpha,네이버,7
Island,Alpha,네이버,1
J,Alpha,네이버,1
Love,Alpha,네이버,1
MAN,Alpha,네이버,3
MCU,Alpha,네이버,15
Man,Alpha,네이버,7
Marvel,Alpha,네이버,1
OO,Alpha,네이버,2
On,Alpha,네이버,1
PROOF,Alpha,네이버,1
R,Alpha,네이버,1
Real,Alpha,네이버,1
STARK,Alpha,네이버,1
T,Alpha,네이버,4
THAT,Alpha,네이버,1
TONY,Alpha,네이버,1
The,Alpha,네이버,3
We,Alpha,네이버,1
[,Punctuation,네이버,1
],Punctuation,네이버,1
^,Punctuation,네이버,1
^^,Punctuation,네이버,2
am,Alpha,네이버,18
baby,Alpha,네이버,1
back,Alpha,네이버,1
beginning,Alpha,네이버,1
behalf,Alpha,네이버,1
black,Alpha,네이버,1
bye,Alpha,네이버,1
cgv,Alpha,네이버,1
fans,Alpha,네이버,1
good,Alpha,네이버,1
hero,Alpha,네이버,1
i,Alpha,네이버,5
in,Alpha,네이버,1
iron,Alpha,네이버,10
ironman,Alpha,네이버,4
is,Alpha,네이버,1
legend,Alpha,네이버,1
love,Alpha,네이버,4
luv,Alpha,네이버,1
m,Alpha,네이버,9
man,Alpha,네이버,12
mcu,Alpha,네이버,2
my,Alpha,네이버,1
next,Alpha,네이버,1
of,Alpha,네이버,3
please,Alpha,네이버,1
thank,Alpha,네이버,1
the,Alpha,네이버,2
time,Alpha,네이버,1
truth,Alpha,네이버,1
u,Alpha,네이버,2
xxx,Alpha,네이버,1
you,Alpha,네이버,5
~,Punctuation,네이버,8
~!!,Punctuation,네이버,2
~~,Punctuation,네이버,1
~~!!,Punctuation,네이버,1
’,Punctuation,네이버,1
“,Foreign,네이버,1
”,Foreign,네이버,1
♥,Foreign,네이버,1
ㄷㄷ,KoreanParticle,네이버,1
ㄷㄷㄷ,KoreanParticle,네이버,1
ㄹㄴㅍㅇ,KoreanParticle,네이버,1
ㄹㅇ,KoreanParticle,네이버,1
ㅁ,KoreanParticle,네이버,1
ㅇ,KoreanParticle,네이버,1
ㅇㅎ,KoreanParticle,네이버,1
