,nickname,text,score,like,dislike,time,watch_movie
0,rkdh****,진짜 아이언맨은 1부터봐야 진리다.. 1안보고 보통 어벤져스때 아이언맨처음본사람 많은데 진짜 아무것도모른상태로 1보면 진짜 개재미짐..,10,1250,35,2013-06-29 01:08:00,0
1,명탐정(skip****),마블 시네마틱스가 이렇게 커질 수 있었던건 오로지 아이언맨 덕분,10,1207,35,2013-07-22 11:46:00,0
2,Sean(tscm****),"잘 만들었고 재미있다. 히어로가 성인군자가 아닌 것이 불쾌할 수도 있지만, 오히려 그래서 답답하지 않고 시원한 맛도 있었다.",7,584,37,2013-07-09 20:33:00,0
3,몬냥이(shmi****),이 영화는 전설의 시작? 이라고 보면 맞겠다. 2012년 한해를 강타했었던 히어로 블록버스터 어벤져스의 초석 이라 할 수 있다. 마블 성장의 기반을 다질 수 있었던 것도 아이언맨 덕뿐. 히어로 영화의 수작,8,543,19,2014-02-14 19:31:00,0
4,3rds(idon****),기존 히어로물을 다 싹 갈아엎고 히어로물계의 한획을 긋는 작품.,10,504,22,2013-10-07 09:50:00,0
5,Tabernacle(ko06****),근데 이게 처음엔 반신반의하고 만든 영화라는 것,10,427,20,2014-01-29 23:10:00,0
6,라츠(sopr****),"동굴에서 자신이 만든 무기때문에 생명이 위태로울때 목숨을 지켜준건 돈이 아닌 선량한 사람의 목숨이였습니다. ""당신의 인생을 낭비하지 마세요.."" 잉센의 희생으로 생명의 가치를 깨닫고 전투로봇을 넘어서 ...",9,416,11,2015-09-16 09:39:00,0
7,dlkad(op48****),전설의시작,10,401,15,2013-06-28 17:05:00,0
8,pmsr****,개성 강한 히어로의 탄생. 착하기만한 다른 히어로들과 달리 불량스러운게 신선하고 재밌다. 어벤져스에서 절대 없어선 안 될 최고 캐릭터.,9,355,13,2014-04-22 16:37:00,0
9,이(2_dp****),재밌네요,8,239,26,2013-07-11 01:19:00,0
10,미트볼(kesd****),진짜 마블이든 디씨든 히어로물 중에서 제일 재밌는걸 뽑으라고 하면 진짜 아이언맨이 진리다.,10,210,11,2014-02-20 11:04:00,0
11,꿀사과(kde5****),아이언맨 3000만큼 사랑해,10,194,1,2019-04-24 23:55:00,0
12,mani****,재미있다,9,206,18,2013-07-07 21:22:00,0
13,미스터촤(jjaj****),마블히어로 중 가장 멋있고 유머있는 케릭터.  개인적으로 1편이 가장 몰입도가 높았음.,9,184,9,2014-02-04 04:41:00,0
14,레리라리(wss0****),토니에게 따뜻한 가슴이 있다는 증거 ㅠㅠ,10,149,2,2019-04-24 22:08:00,0
15,eren(olg3****),재개봉해라. 로버트 다우니 주니어의 전성기를 보고 싶어하는 분들을 위해서라도 아이언맨1의 짜릿함을 위해서라도  극장가서 보지 못한 사람들을 위해서라도...,10,149,8,2016-06-28 22:49:00,0
16,멍텅구리(woll****),도데체 몇번을 다시 봤는지 모를정도..,10,150,12,2013-06-20 17:17:00,0
17,영용(zero****),"거만하고 제멋대로인 주인공이지만, Iron Man이기에 용서가 되는 영화.",8,135,7,2013-11-28 08:19:00,0
18,skeh****,세상에서가장매력적인히어로의등장,9,127,10,2014-01-30 22:59:00,0
19,노비츠키(dulc****),나를 마블 빠돌이로 만든 장본인. 모든 시작은 여기서부터다.,9,108,5,2015-03-30 14:11:00,0
20,정민지(hiu0****),맨날 친구들한테 이런걸 왜봐 이러면서 궁금증에 봤다. 다 보자마자 박수 밖에 안나오더라.. 진짜 대단하다 히어로물 영화 진짜 안좋아했는데 아이언맨 때문에 다시보게 됬다 진짜 판타지물 영화중에 최고 판타지중에 아바타가...,10,107,9,2014-04-30 21:19:00,0
21,sinbal(ajik****),이거 극장에서 처음볼때의 유쾌함을 아직도 잊을수 없어요ㅋㅋ,10,101,4,2013-08-23 20:01:00,0
22,급식먹고싶다(tjrf****),마블.. 시작과 끝은 I'm Ironman.,10,86,0,2019-04-24 21:14:00,0
23,우리옹(gusn****),제일 해학적이고 개성적인 영웅,10,88,5,2014-03-15 00:13:00,0
24,rami****,단순히 초능력이 아닌 과학적이고 똑똑하다! 뿐만아니라 돈도 많고 천재적인데 겸손한척하지도 않고 이기적이다! 그치만 미워할수 없는 섹시한 영웅이다!,9,85,3,2014-12-12 23:30:00,0
25,00(yhzz****),남자 노소 불문 로망 그 자체.,9,95,19,2014-02-10 19:15:00,0
26,Hello21(qudw****),어벤져스의 시작...,9,74,4,2014-04-19 16:24:00,0
27,레니토이(534k****),로버트 다우니 주니어 나오는 거면 무조건 좋음,10,72,7,2013-11-06 17:43:00,0
28,촬리모픽(arti****),"스포츠카, 돈, 로봇... 남자들의 로망",9,80,16,2013-12-10 14:33:00,0
29,Raphael(h_ra****),아이언맨은 그 자체로 너무 멋있다.,9,62,5,2013-07-30 21:28:00,0
30,뤼시(a777****),아이언맨 시리즈 다 좋지만 1이 최고,10,54,5,2013-09-14 23:43:00,0
31,차차아리(nick****),토니의 운전기사역 배우가 이 영화의 감독인 건 다들 아시죠..?,10,47,2,2016-12-20 01:53:00,0
32,wowt****,죄송합니다 전 토니 스타크가 아니잖아요?,9,48,4,2016-06-16 23:03:00,0
