,nickname,text,score,like,dislike,time,watch_movie
0,carmness(qord****),이런영화가 어떻게 평점이 7점대지? 진짜 우리나라에서 갠적으로 톱으로 꼽는 영화중 하난데,10,3240,310,2013-07-29 00:24:00,0
1,이명식(wirl****),최민식님 연기진짜 진짜사이코인주알음;;,10,2712,94,2013-07-10 17:34:00,0
2,west****,앤딩이 우울한게 더 매력있는영화. 싸이코패스연기기 절정인영화. 악마를 죽이려면 자신도 악마가되어야하고 그와중에 많은 희생의 댓가를 치른다. 선이이기냐 악이이기냐가 아닌 사람을죽이는 희생에는 고통이 따른다는것.,10,1887,107,2013-06-25 21:41:00,0
3,하녀(dlal****),사랑하는 사람을 위한 광기와  무차별적이고 이유 없는 광기는 눈물 한 방울의 차이다. 결코 잔인함의 차이가 아니다.,9,1435,87,2013-07-03 02:28:00,0
4,tang****,"""괴물은 또 다른 하나의 괴물을 낳는다."".",7,1097,123,2013-06-19 01:13:00,0
5,현수(hyun****),이런영화가 이상한 아이돌나와서 씨부리는 영화랑 동급평점이라니... 우리나라도 참 수준이..  됫고 간단하게 평함.. 선vs악이 아님이병헌-무서운놈  최민식-미친놈무서운놈vs미친놈의 대결임  둘다 선과는 거리가 멀음 ...,10,1073,123,2013-10-07 01:22:00,0
6,fisc****,변태 뵨태해도 연기력은 갑......그리고 최민식씨...당신은 너무 연기를 잘해....,9,956,50,2013-07-04 17:03:00,0
7,시크한쏘쏘(ssos****),평점이 왜이렇게 낮은지 모르겠다. 잔인함에만 촛점을 맞추지않고 이병헌에 감정이입하니까 정말 슬프더라. 누구나 한번쯤 생각해보지 않나. 내 소중한사람이 살인됐는데 그 범죄자가 반성의 기미가없다면..이병헌에겐 최민식이 ...,10,948,54,2013-09-27 03:31:00,0
8,hyun(jaco****),보기드문 한국 공포스릴러 명작중의 명작.. 이병헌씨 최민식씨 액션과 연기 모두 소름끼쳤다.  잔인하다 잔인하다 이러는데 p2p사이트에 널리고널린 B급고어물들처럼 쓸데없이 잔인한게 아니다.,9,739,47,2013-07-18 00:59:00,0
9,좋을텐데(luca****),니들은 다크나이트보고 조커됬냐?모방범죄 나온다는것들은 뇌가없는건가?  죽1일놈들은 겨울왕국보고도 사람죽1인다.,10,745,56,2014-02-23 09:14:00,0
10,Rigel19(nana****),우리나라에도 이런 배우들이 있었다니.. 싶을 만큼 연기력이 충격이에요. 다 보고 나면 이병헌이랑 최민식 얼굴이 등 뒤에 있는 것처럼 소름돋습니다. 다른 배우가 했으면 이런 느낌 절대 안났을 것 같아요. 전 재밌게 봤...,10,633,33,2013-07-28 01:51:00,0
11,egot****,몆백명을 살해해도 교도소에서 밥주고 맥여주는 현실.,10,533,22,2013-03-24 11:56:00,0
12,rhsk****,장경철이 처제죽이기전에 처제 폰으로 전화 했음 처제는 살수있었는데 왜 전화 안한건지.. 그게 옥에티.. 영화라서 그런건가;,9,515,58,2013-09-13 03:20:00,0
13,복신사(bokd****),이병헌 장인어른이 최민식을 몰랐을리가없는데 택배라고 문 열어주는 허술함땜에 8점.,8,479,65,2013-11-25 13:25:00,0
14,ㅁ(moop****),"진부한 표현인데요, 택시 씬은 정말로 한국영화사에서 한 획을 그은 씬인듯합니당",10,358,21,2014-07-24 01:18:00,0
15,delr****,민식이형이 왜 지존인지알게해준다.지린다,10,345,18,2013-04-28 13:17:00,0
16,피레(mapl****),그저 잔인하고 불쾌한 영화라고 치부하기엔 감독의 연출과 배우들의 소름끼치는 연기력이 너무 아깝다,9,341,28,2013-06-29 17:11:00,0
17,큐트사유(wndy****),최민식 연기 개쩐다... 더이상 말이 필요없음,10,298,12,2013-04-21 09:16:00,0
18,까르(krsl****),아.. 최민식 연기 잘하네,10,304,22,2013-06-23 12:22:00,0
19,나이롱맨(uldo****),소름돋네요 카레먹으면서 보는데 캡슐찾을때 토함,10,287,18,2014-06-05 19:05:00,0
20,gohs****,어떻게 이런영화가 평점이 칠점대냐?진짜 네이버 별점 쓰레기다. 스토리 연출 배우연기 다 최고구만 잔인하다고 평점까는 선비들은 위에 19금 표시가 안보이냐?,10,268,32,2013-04-19 01:27:00,0
21,zuzuclub(ivuq****),영화볼 줄 모르는 애들이 많네. 이 영화의 메세지는 '괴물이 괴물을 낳는다' 가 아니라 '잃을 게 없는 놈에게는 이길 수가 없다' 라는 것이거늘..,10,376,157,2013-11-08 19:38:00,0
22,수수(cnei****),"김지운의 연출은 이제 최고가 됐다. 그리고  인간자체을 들어다보기 시작했다. 그것도 아주 이해하기 쉬운방법으로, 공감할수있는 사실성을 염두에 두고. 20년후 그가 소위 거장이 된다해도 이상할게 없다. 이병헌최민식. ...",10,244,27,2013-05-30 01:22:00,0
23,토모다치(kamo****),영화보는 내내 최민식이 연기를 너무 잘해서... 분노게이지가 ㅋㅋㅋ,10,221,11,2013-04-27 01:03:00,0
24,dean****,"영화적 재미와 몰입도는 역대 최고. 추격자, 아저씨 보다 한수위",10,214,14,2014-07-09 10:38:00,0
25,GDXID(ekdm****),이병헌 - 무서운놈 /  최민식 - 찢어죽여도 시원찮을놈,9,186,11,2013-06-26 00:07:00,0
26,러키걸(iamm****),아니 이게 왜 7점대야? 최민식 이병헌 와 장난아니다 진짜 배우 수식어는 이런 사람들한테 붙여야지,10,192,19,2013-09-01 02:04:00,0
27,바람(lhm7****),허점은 많지만 그것을 가리고도 남을 광기가 영화내내 흘러넘친다,9,175,19,2013-07-13 09:44:00,0
28,Hus(huso****),평점이 왜이렇게 낮은지 이해안됨ㅠㅠㅠ둘다 연기를 너무 잘해서 몰입되고 진짜 기분나쁘고 찝찝하면서도 아ㅏ최고에요,10,161,26,2013-09-27 01:28:00,0
29,젠틀나이트(gent****),"지나치게 잔인하고 선정적인 이유로 혹평을 받을 수 있을지언정, 인간의 광기를 가장 현실적으로 그린 점에서는 환상적이라 할 만하다.",10,143,12,2013-05-30 03:34:00,0
30,miah****,정말정말 잔인하다.하지만 잔인하기만 한 영화는 절대 아니다.최민식의 연기는 전설이다.,10,128,10,2013-10-06 21:50:00,0
31,임일(mari****),잔인하기도 정말 잔인하지만 마지막 장면이 참 묘하다복수를 마친 이병헌이 혼자 이어폰 끼고 가는 장면... 복수의 성공으로 기뻐 웃는건지 자신도 똑같은 악마가 된 것에 대한 슬픔인지.. 웃음인지 울음인지는 음악때문에 ...,9,132,19,2013-12-08 11:59:00,0
32,북로군정서군(jsm9****),이정도면 요줌 천만찍은 베테랑보다 더 재밌다,10,123,12,2015-10-24 17:03:00,0
33,yuda(akya****),우리나라에 이정도의 연기력을 할 수 있는 배우가 있다는것 자체가 큰 행운이라고 생각한다,10,113,8,2014-04-30 08:56:00,0
34,dnjs****,지림;,10,110,8,2013-06-30 01:08:00,0
35,레볼루션(ymki****),평점좀 높이자 단지 잔인하다고 평점낮게 줄거면 그냥 쓰지마라 최고의 스릴러다,10,104,9,2014-03-13 01:45:00,0
36,다시빛으로(pdia****),역시 최민식.. 눈빛에서 느껴지는 광기에 연기라는 것을 한순간 잊고 공포를 느꼈다. 멋지다,10,97,5,2013-10-06 05:10:00,0
37,보컬리스트(smrm****),"난 이 영화가 한국 영화 중 손 꼽히는 작품이라고 생각한다. 특히 택시 씬은 신세계 엘리베이터 씬의 오리지널이라고 봐도 무방할 정도로 카메라 촬영 기법부터, 장면까지 비슷하다. 그리고 이 영화에서 보여주는 이병헌과 ...",10,92,4,2014-02-06 17:54:00,0
38,나루ㅎㅎ(cham****),최민식의 안면과 몸 목소리까지 혐오스러운 건 그만큼 연기를 잘해서겠지...,8,89,4,2013-11-02 21:15:00,0
39,포니(tjdd****),내점수는 9점이지만 7.6점을보고 10점으로 올립니다 잔인하다고  제대로보지도않으면서 평점낮게주는사람들은 걍코믹영화나보면서 실실쪼개세요 이영화는 s급이라 불리는 두사람이 이거너무한거아닌가할정도로 연기력이 200%인 ...,10,92,7,2013-03-01 03:23:00,0
40,징어(star****),최민식이 아니였다면 이 영화가 소름돋는 영화가 됬을까?,10,89,6,2013-11-06 22:18:00,0
41,고뿔잽이(aoo1****),진짜 연기력 갑,10,88,6,2013-07-01 21:30:00,0
42,귤(cucu****),마지막 이병헌이 웃고울고 반복하는모습 진짜슬펐다 진짜...,10,79,0,2013-08-05 01:06:00,0
43,두부(tmfv****),한국스릴러 투톱중하나. 악마를보았다 추격자,10,83,6,2014-06-18 20:06:00,0
44,cool****,이 영화 보고 한 열흘 기분 더러웠음. 온 몸의 피가 증발해 버리고 그 찌꺼기의 맛과 악취가 어딘가 구석구석 베어서?사라지지 않는 느낌이랄까. 이런 악인 연기를 최민식 말고 다른 누군가가 할 수 있을까?,8,92,15,2014-09-09 01:27:00,0
45,luke****,평론가들은 보소~~악마를 못 보았다고요??~아님 못 느끼셨다고요 ?? 영화속 두 주인공으로 입장에서 영화를 바라보세요~그래도 안보이시나요?그냥 데스노트를 보세요~자아도취가 너무들 심한듯~~,9,87,13,2014-05-26 23:31:00,0
