type	text
네이버	이런영화가 어떻게 평점이 7점대지? 진짜 우리나라에서 갠적으로 톱으로 꼽는 영화중 하난데
네이버	최민식님 연기진짜 진짜사이코인주알음;;
네이버	앤딩이 우울한게 더 매력있는영화. 싸이코패스연기기 절정인영화. 악마를 죽이려면 자신도 악마가되어야하고 그와중에 많은 희생의 댓가를 치른다. 선이이기냐 악이이기냐가 아닌 사람을죽이는 희생에는 고통이 따른다는것.
네이버	사랑하는 사람을 위한 광기와  무차별적이고 이유 없는 광기는 눈물 한 방울의 차이다. 결코 잔인함의 차이가 아니다.
네이버	"괴물은 또 다른 하나의 괴물을 낳는다.".
네이버	이런영화가 이상한 아이돌나와서 씨부리는 영화랑 동급평점이라니... 우리나라도 참 수준이..  됫고 간단하게 평함.. 선vs악이 아님이병헌-무서운놈  최민식-미친놈무서운놈vs미친놈의 대결임  둘다 선과는 거리가 멀음 ...
네이버	변태 뵨태해도 연기력은 갑......그리고 최민식씨...당신은 너무 연기를 잘해....
네이버	평점이 왜이렇게 낮은지 모르겠다. 잔인함에만 촛점을 맞추지않고 이병헌에 감정이입하니까 정말 슬프더라. 누구나 한번쯤 생각해보지 않나. 내 소중한사람이 살인됐는데 그 범죄자가 반성의 기미가없다면..이병헌에겐 최민식이 ...
네이버	보기드문 한국 공포스릴러 명작중의 명작.. 이병헌씨 최민식씨 액션과 연기 모두 소름끼쳤다.  잔인하다 잔인하다 이러는데 p2p사이트에 널리고널린 B급고어물들처럼 쓸데없이 잔인한게 아니다.
네이버	니들은 다크나이트보고 조커됬냐?모방범죄 나온다는것들은 뇌가없는건가?  죽1일놈들은 겨울왕국보고도 사람죽1인다.
네이버	우리나라에도 이런 배우들이 있었다니.. 싶을 만큼 연기력이 충격이에요. 다 보고 나면 이병헌이랑 최민식 얼굴이 등 뒤에 있는 것처럼 소름돋습니다. 다른 배우가 했으면 이런 느낌 절대 안났을 것 같아요. 전 재밌게 봤...
네이버	몆백명을 살해해도 교도소에서 밥주고 맥여주는 현실.
네이버	장경철이 처제죽이기전에 처제 폰으로 전화 했음 처제는 살수있었는데 왜 전화 안한건지.. 그게 옥에티.. 영화라서 그런건가;
