,nickname,text,score,like,dislike,time,watch_movie
0,용쌤과같이(star****),저게우리였으면  아무한테도연락안와서 밥만먹고끝났을듯 ㅜ ㅜ,10,13389,481,2018-10-31 13:18:00,0
1,이민영(warm****),"촬영 장소? 스케일? 다른 거 다 필요 없다. 최고의 배우들이 자그마한 식탁 위에서 최상의 요리를 만들어냈다. 어떠한 양념, 조미료도 필요하지 않았다.",10,8581,909,2018-10-31 10:11:00,0
2,아지뱀(yhoc****),다른 의미로 공포 영화.,8,7434,333,2018-10-31 10:02:00,0
3,진정호(konm****),사람의 본심은 월식과 같아서 언젠가 드러나는 법,10,6781,398,2018-10-31 09:03:00,관람객
4,XX(olzl****),서로를 잘 모르기에 함께 살 수 있는 우리들,10,6051,222,2018-10-31 18:56:00,0
5,노레스(norr****),올해  최고의 블랙코미디. 유해진의 연기는 믿고 봅니다.,10,5075,316,2018-10-31 09:40:00,0
6,H1501554(skdm****),음향감독님 칭찬은 없네요ㅠㅠ 이서진 벨소리 울릴때마다 심장 쫄렸는데,10,4906,197,2018-11-02 10:07:00,0
7,jssh****,57세 키티는 최고!! 간만에 배아프게 웃으며 봤습니다 ^^,10,4882,340,2018-10-31 15:37:00,0
8,광매(gch7****),윤경호라는 배우의 대발견.. 큰 배우들사에서도 전혀 꿀리는거없이 존재감 제대로 사네,10,4424,265,2018-10-31 14:57:00,0
9,인간(tkek****),요즘 망해가는 한국영화들중에 젤만족스러웠다 막장같은 스토리임에도 깔끔한연출과 배우들의 미친 연기력땜에 쫄리면서도 계속웃겨서쉴틈을 안줌 ㅋㅋㅋ,10,3945,269,2018-10-31 10:58:00,0
10,이현우(magi****),35라고 생각했지 57은 정말 생각도 못 했다.,10,3533,249,2018-10-31 22:56:00,0
11,tpgu****,꿀잼 허니잼 !!조진웅씨랑 결혼하고싶은생각이 드는영화 ㅠ 강추,10,3444,254,2018-10-31 15:53:00,0
12,lees****,"게임을 한 후, 하기전 어떤것이 최선의 선택인지 아직도 모르겠다",10,3067,121,2018-10-31 20:08:00,0
13,jjom(more****),간만에 극장에서 다 같이 웃는 경험 한거 같아요 ㅋㅋㅋㅋ 웃음 포인트도 많고 소름돋는 포인트도 있어서 재밌었어요 ㅋㅋㅋ 핸드폰이 누구나 쓰는 물건이라서 더 공감가는 것 같습니당 추천해요,10,3205,308,2018-10-31 10:09:00,관람객
14,곰보선장(uulh****),제작비 수십억씩 때려박은 영화들 뺨때리네. 혼자 기대없이 보러갔다가 시간 아깝지않게 봤습니다.,10,2933,175,2018-10-31 18:48:00,0
15,스윗세라(kdw2****),"유해진, 염정아 연기 대박 입니다 액션 공포물도 아닌데 이렇게 긴장되면서 웃기면서 몰입되다니 대박.",10,2808,170,2018-10-31 10:10:00,관람객
