type	text
네이버	131분인게 믿기지않을몰입감과 연기력솔직히 어벤져스보다 더재밌음먹먹하지만 어쩌면 현실일지도
네이버	15믿고 중고딩자녀랑 같이보러가면 다소민망하고 낭패볼수도있습니다 참고하시고 19가 맞는듯 영화소재나 내용은만족합니다
네이버	15세 관람 등급에 놀람.
네이버	15세 보다는 수위가 좀 ㅎㅎ 보면서 긴장도 되고 재밌어요~
네이버	15세가 보면 절대 안되는 영화. 불필요한 욕설은 기본이고 살인에 갈등조장 게다가 에로..등등. 관람후 생긴 기분더러움.
네이버	15세는 아닌것같다눈물없는  슬픈영화엿지만..생각없이 애들데리고 가는건 아니되오~
네이버	15세영화치고 너무 가족끼리 보면 안될 것 같다..칼부림,뇌진탕 영화
네이버	19금 걸어라 천만관객 만들려고 15금해놨나ㅡㅡ
네이버	19금임 가족끼린 피하세요
네이버	19세 걸어야될듯... 민망한 장면이 한 둘이 아님 기대 안하고 보길 잘했다
네이버	19세로 올리세요 청소년이 감당하기에 힘듭니다
네이버	19세로등급조정하세요
네이버	19세이상 관람으로 해야할듯 부모님이랑 보는데 뻘줌ㅎㅎ
네이버	1점도 아까움. 보고 나와서 기분 개찝찝해지는 영화였습니다. 돈도 시간도 너무 아까웠어요.
네이버	2시간이 넘는 러닝타임이 금방 가요. 근데 15세 안돼~ 19세는 되야돼요.
네이버	40년 영화광이었던 전세계 장단편 영화를 봐왔던 나에게 크나큰 지적 빅뱅을 안겨주었다. 그어떤 깐느 황금종려상 아카데미상을 휩쓴 영화들 보다 여러분을 환상의 세계로 끌고 들어갈것이다.말로 형용하기가 어렵다 정말.
네이버	cj새끼들 관객수 늘리고 돈벌라고 15세 했구만..이건 19세 걸어야됨..근데 영화 시나리오 몰입도는 죽임..그래서 9점줌
네이버	OOO잼  돈줫나아까움 망작
네이버	가난과 계급을 책과 영화로 배운 감독의 블랙코미디.
네이버	가난에 대한 부정적인 프레임을 더 고정적으로 만드는데 기여한 영화가 아닐까...가난은 현실일 뿐 더럽고 비참한 모습의 상징이 되어서는 안된다고 생각한다. 어떤 메시지를 던지고자 하는지 억지로 이해는 할 수 있으나 이...
네이버	가난은 바닥을 기다못해 기생충처럼 살아가게 만든다 죄없는 이에게 해를 끼쳤지만 그들에겐 별다른 선택지가 없었다
네이버	가난을 모르는것들이 가난을 논하고있네요
네이버	가난을 아는사람에게는 너무 잔인한 영화
네이버	가난의 냄새가 너무 서글프다.
네이버	가난의 악취는 죽음으로도 지울 수 없을 정도로 너무 진했다.
네이버	가난하다는 공통점 하나로 기택네 가족한테 감정 이입을 하게 된다고?그냥 범죄자 집단인데? 기우가 서울대 합격증을 조작했을 때부터 나하고는 상관없는 존재들이 됐다.
