,nickname,text,score,like,dislike,time,watch_movie
0,바닐라 맛(vani****),"아무 것도 없을 땐 자신이 외로운 줄도 모른다사랑을 하면서 자신이 그동안 외로웠다는걸 깨닫는다그리고 사랑이 끝나면 외롭지 않을수도, 처음처럼 외로움을 모를수도 없게된다.",9,1883,72,2013-04-02 23:47:00,0
1,푸우(jkey****),마지막에 츠네오가 조제를 떠난 건 결코 그의 사랑이 동정이 아니였음을 보여준다,10,1834,93,2013-07-20 23:00:00,0
2,그냥이(7942****),나도 장애인에 대한 편견을 가진 뻔한 가식덩어리었다. 왜 이런 소재의 사랑은 영원해야한다고 생각했을까.,10,1710,50,2013-07-28 01:10:00,0
3,kill****,나는 혼자 깊은바다 밑에서 데굴데굴 굴러다니게되겠지. 그래도 그것도 나쁘지않아.,10,1296,36,2013-05-23 03:49:00,0
4,폭군(lagi****),"조제를 장애인이 아닌 한명의 인간으로 대하는 츠네오에 반해 우리는 조제를 단순히 불쌍한 사람으로 보고 있지는 않은가? 상대에 대한 솔직함은 사랑의 기본이자, 인간관계의 기본이다. 마지막 순간까지 조제에게 솔직했던 츠...",10,1232,55,2013-06-08 14:01:00,0
5,마나(soop****),7년전쯤 봤을땐 특별한 사람이 하는 일반적인 사랑이야기인줄 알았는데지금보니까 일반적인 사람들의 특별한 사랑이야기 인거 같다,10,886,23,2013-09-14 02:43:00,0
6,mapl****,영화가 끝난뒤 찾아오는 이 미칠듯한 여운은 대체 뭘까,9,878,28,2013-11-26 02:16:00,0
7,neoe****,"츠네오는 떠났지만, 세상으로 향한 창을 열어주었다.",10,839,29,2006-07-10 22:24:00,0
8,갈매나무(gusd****),"조제에게 호랑이는 무섭고 냉혹한 현실, 물고기는 깊은 바닷속 자신만의 세상. 둘은 호랑이를 함께 봤지만 물고기는 끝내 보지 못했다. 슬픈 영화다.",8,810,17,2016-03-29 11:55:00,관람객
9,ethos(toto****),"사랑은 이기적이다, 이별은 더 이기적이다",8,655,41,2013-06-20 01:18:00,0
10,PaperMan(suer****),"호랑이를 같이 볼 수 있는 남자를 만났지만, 결국 물고기의 자리로 돌아가게된 사랑.",10,626,16,2014-04-12 02:23:00,0
11,자옹이(szh1****),글쎄... 남자가 현실을 택했다고 볼지 모르겠네요. 영화 보는 사람따라 다른 것 같은데 이제 조제를 사랑하지 않는 것이었겠죠. 마지막에 조제역시 변하잖아요. 조제가 비록 장애인이지만 연인인 두 사람의 결말도 보통의 ...,10,634,63,2013-06-22 04:28:00,0
12,alwa****,츠마부키사토시 마지막  울  때  너무 슬펐음.ㅠㅠㅠ,10,541,14,2014-03-21 01:39:00,0
13,workingtitle(eli7****),이 영화를 장애인의 사랑으로 보고 츠네오를 욕하는 사람이 있다는게 놀랍다. 어느 연인에게나 있는 만남과 사랑과 이별을 단지 조제가 장애인이라는 이유로 다르게 본다는것 자체가 자신의 장애인에 대한 편견을 반증하는 것이...,10,526,18,2015-04-13 01:17:00,0
14,에스지(sads****),사랑은 현실이다. 그래서 언제나 새드앤딩이다.,10,506,13,2013-02-25 03:46:00,0
15,plto****,내가 본 일본영화 중에서 가장 독보적인 수작이다. 그는 장애인의 사랑이 아닌 결점을 가진 한 인간의 사랑을 통한 성장과 이별을 얘기하고자 했다. 어설픈 신파극과 코믹이 난무하는 한국영화계에 배울 점을 던지고 있다.,10,516,25,2014-02-01 13:23:00,0
16,돼지꿈(demo****),"츠네오의 마지막 대사 ""헤어진 여인과는 가끔 연락할 수도 친구처럼 지낼수도 있다. 하지만 조제는 다시는 볼 수 없을 것이다."" 그 말이 시간이 지나고 내 가슴에 오래도록 남았다. 그리고 이 말이 이해되...",10,450,8,2013-08-05 06:08:00,0
17,lovlydia(naeh****),"음악,배경,배우들 다 좋고 어릴 때 본 내눈에는 츠네오가 정말 쓰레기였고 조제는 가여웠는데 나이 들고 다시 본 영화 속 츠네오는 가엽고 조제는 멋졌다.",9,452,14,2016-03-27 12:05:00,관람객
18,스노(ange****),츠네오가 조제를 떠날 수 있었던 이유는 그녀를 장애인이 아닌 한 여자로서 사랑했기 때문이다.,10,416,16,2015-02-06 03:07:00,0
19,swou****,남 시선을 의식하지 않고 사랑하는 모습이 부러웠다. 그리고 마지막 츠네오의 선택을 나무랄 수 있는 사람은 아무도 없을것같다. 조제도 그걸 알고있고...,9,405,11,2013-09-14 01:34:00,0
20,gagu****,크레딧이 올라가는 내내 그 사람을 생각했다,10,389,13,2013-07-01 03:00:00,0
21,정소영(kj46****),예전엔 헤어진 후에 우는 건 아직 그 사람을 좋아하기 때문일거라고 생각했다. 이제는 그 울음이 후회라기 보다는 미안함 혹은 그 사람을 다시 볼 수 없다는 아쉬움 혹은 지난 내 시간에 대한 인사라고 생각한다.,10,381,7,2016-03-18 01:36:00,0
22,모모크로단(ghdu****),조제는 구원받은 걸까... 아니면 다시는 외로움을 몰랐던 그 때로 돌아갈 수 없어 슬픈 걸까,9,365,10,2013-09-06 05:02:00,0
23,아날로그호랭이(20th****),하지만 조제는 아니다. 라고 말하며 남자가 펑펑우는 장면은 진정 죽음이다.,10,323,16,2013-11-24 16:26:00,0
24,sk41****,언젠가 당신을 사랑하지 않겠지.. 그리고 당신도 나를 사랑하지 않을거야.. 고독함만이 남겠지.. 모든게 다 그래,9,312,14,2013-01-22 01:53:00,0
25,Mint(kid5****),"이별의 이유는 여러가지였지만....아니, 사실은 하나다. 내가 도망친 것이다.",8,300,7,2016-04-15 01:08:00,관람객
26,푸른달님(jjcv****),내가 마치 연애를 시작하고 끝낸 것처럼,9,245,11,2013-07-24 20:06:00,0
27,초보작가(5634****),이별은 아프지만 나를 성장시킨다.,10,232,6,2013-12-20 22:33:00,0
28,wown****,"남자주인공을 욕할게아니라, 조제를 장애인이 아닌 인간으로써 대하였기에, 평범한 사람들과의 사랑처럼의 감정변화를 보여준거였습니다. 그리고 조제는 오히려 그와 사랑후에, 예전처럼 붙잡지 않고 혼자서 살아가는 의지를 보여...",10,222,8,2012-10-06 01:13:00,0
29,maro****,씁쓸하다. 그러나 츠네오도 조제도 이해할 수 있다.,10,211,11,2006-08-13 17:12:00,0
30,매니 파퀴아오(ldy2****),영화가 끝난 후 다시 한번 정주행으로 또 봤었던 영화.,10,192,0,2018-11-03 00:17:00,0
31,Tardis YJM(mepi****),아... 조제 지독히도 현실속에 사는 마지막..,9,202,12,2013-06-13 01:15:00,0
32,산다(lol3****),헤어져도 친구로 남는 여자가 있지만 조제는 아니다.조제를 만날 일은 다시는 없을 것이다.,9,195,6,2016-04-12 18:00:00,관람객
33,GN005Virtue(gn00****),내가 본 가장 차별없는 사랑,10,175,10,2016-03-24 02:52:00,관람객
34,이클립스(pira****),정말 잘만들어졌다. 마지막에 조제를 떠난 츠네오의 모습 현실을보고 마음이 짠했지만 혼자 세상에 나오게된 조제의 모습을 보면 또 해피엔딩인거같다,10,173,11,2014-01-21 00:10:00,0
35,nani(mint****),마지막에 츠네오가 길에서 오열하는 장면을 보기 위해 몇번이고 반복해서 영화를 본다,10,158,6,2015-04-30 11:59:00,0
36,jaim****,가슴이 먹먹해 지는 영화... 헤어지고 친구로 남을수 없는 사랑이 와 닫는다,10,155,4,2012-06-27 00:20:00,0
37,알리안(dirc****),처음부터 없었으면 모르고 산다. 그걸 알게된 순간 기쁨과 동시에 익숙해져버린다.,9,156,5,2014-03-20 03:12:00,0
38,여신태희(lkyl****),만점짜리 영화다 영화 자체도 훌륭한데 제목조차 훌륭하다,10,154,7,2014-01-27 22:55:00,0
39,쥬뗌(iame****),조제. 바다 밑은 여전히 고요하니?,9,151,7,2016-03-18 01:18:00,관람객
40,funn****,스무살 때 보았을 때와 지금 몇 년이 지난 후 보았을 때 다른 느낌을 주는 영화. 다시 수 년이 흐른 뒤에 보고 싶은 영화.,10,123,3,2013-02-19 03:02:00,0
41,사랑합니다(thdd****),호랑이에서 조제는 사랑의 확신을 표현했고 물고기를 보러 간 수족관에서 츠네오는 틀어지기 시작한다,10,129,10,2016-04-12 10:26:00,관람객
42,Larel(rpgy****),이젠 이해한다,10,122,9,2012-11-21 01:20:00,0
43,김세영(seiy****),해저에서 헤엄치고 나올 수 있게해줘서 고마워.그것만으로도 너무 감사해.,9,109,5,2016-04-20 16:21:00,관람객
44,이세야(bogh****),담백이란 단어를 감히 쓸수있는 영화.,10,109,6,2014-03-10 13:40:00,0
45,쌀과자(to_f****),서툴러서 온도 조절이 잘 안되는 뜨겁기도하고 미지근하기도 한 연애이야기베드씬이 너무 다정해서 눈물이 나올뻔,10,110,7,2016-03-27 08:01:00,관람객
46,델류즈(qwei****),내가 지금까지 본 영화중에서 가장 여운있었던 영화! 너무 현실을 반영한거 같아서 ㅜㅜ,10,106,10,2014-03-06 18:39:00,0
47,삶은달걀(hush****),처음 이 영화를 봤을때 도중에 잠들었었다.그 후로 지금까지 예닐곱번은 본 듯하다. 츠네오가 조제를 잊지 못하고 사진을 꺼내보듯 때가 되면 보고 싶어지는 그런 영화다.,9,92,4,2013-08-02 22:32:00,0
48,yoon(yuki****),"조제는 츠네오로 인해 사랑을 알고, 세상을 만날수 있었다. 그 순간순간이 뒤에 올 절망보다 값진 것이었다는것을 영특한 조제는 모두 알고 있었다. 괴로움을 당당히 받아들였다. 마지막까지 그걸 몰랐던 내가 바보같아서 마...",10,89,2,2016-04-06 00:32:00,0
49,바다가좋아요(choo****),"살면서 많은 영화를 보고 감동하며, 인생 영화가 바껴가곤한다. 조제도 그런 무수한 영화 중 하나였다. 우연히 다시보게됐을 때 조제에게 인생영화자리를 영구임명하며, 다시는 보지않겠다 다짐한다. 그것은 츠네오가 조제를 ...",10,93,6,2014-02-07 19:36:00,0
50,ksfl****,조제의 용기와 사랑에서 우리 많은 젊은 커플들이 배워야 할 지향점을 보여준다. 조제커플의 만남은 사랑이며 이별도 역시 사랑이다. 너무 아름다워서 다시는 못만나는 사랑이 나로 하여금 매우 가슴 아프고 기쁘게 한다,9,96,9,2013-02-04 22:27:00,0
51,슬리퍼(tpfl****),이 영화를 다시봤다.  츠네오가 조제와 헤어지고나서 오열하는 장면과 조제가 츠네오가 없는 집에서도 그대로 밥을 해먹고 사는 장면을 보면서 아차 싶었다. 슬퍼도 일상은 지속된다. 영원할 것같고 삶의 전부였던 사람이 떠...,10,88,3,2017-03-09 08:10:00,0
52,프로키온(proc****),영화를 다 보고 10분이 지나서야 우는 건 또 처음이다,10,85,2,2015-02-28 06:16:00,0
53,tocj****,라스트신은 정말 많은걸 생각하게 해주더군요....,10,83,1,2013-12-05 14:42:00,0
54,늘진진(leeh****),동정이 아니라서 다행이다,10,85,3,2015-02-15 02:16:00,0
55,기쁨(jilo****),진부하고 질질대며 허우적대고 궁상맞을 소재를 일반적이고 평범하고 잔잔하며 있는 그대로 표현한 최고의 영화,10,86,4,2013-02-15 21:40:00,0
56,beod****,결실을 맺지 못하는 사랑은 그렇게 느닷없이 찾아왔다가 서로가 감지하는 이별을 맞이한다..이 영화가 싫다..,10,83,3,2013-03-18 04:04:00,0
57,세이즈(rlaw****),천천히 스며들어 천천히 놓아주는.... 부러우면서도  가슴 아픈 사랑이다.,10,79,2,2014-02-28 11:26:00,0
58,헤세드(june****),어린애같던 조제가 영화가 마칠 때쯤에 어느 새 성숙한 어른이 되어 있었다. 그런데 왜 마지막 모습이 이렇게 먹먹하고 가슴이 아린지... 나도 조제를 동정하고 있었나? 어디선가 지금도 씩씩하게 살아가는 조제를 응원하며...,10,79,3,2015-11-27 15:19:00,0
59,새동(ohmi****),"츠네오는 가벼운 사랑을 즐기던 사람이었다. 여러 여자와 관계를 맺고, 헤어지더라도 잘 지낸다는 대사도 그렇고. 하지만 조제와는 그러지 못했다. 마지막 그의 눈물이 모든 걸 설명한다.",10,78,6,2018-03-25 14:14:00,0
60,라미(hiii****),"나도 한편으로 조제를 동정하고 있었는지 모른다 , 여느 연인들의 사랑이야기 인데 조제가 다리아프다는이유로 츠네오가 책임지는게 당연하게 생각했다. 마지막 츠네오가 펑펑우는걸보고 마음이 먹먹한,여운이 많이 남는영화",10,76,5,2015-02-16 18:08:00,0
61,zasm****,한번보면 1차원적 관점에서밖에 보이질않지만 최소두번은 봐야지 감독이 전달하고자 하는 것을 알수있을것 같습니다,9,69,6,2013-07-07 21:38:00,0
62,물음표(msa8****),영화를 보는 내내 그냥 덤덤히 봣엇다.그런데 츠네오가 길에서 울자마자 나도 울었다.살면서 이렇게 갑자기 눈물이 나온건 처음이었다.,10,61,2,2015-05-25 18:34:00,0
