terms,pos,type,count
!,Punctuation,네이버,10
!!,Punctuation,네이버,1
!!!,Punctuation,네이버,2
!!!!,Punctuation,네이버,1
!',Punctuation,네이버,1
!????!???,Punctuation,네이버,1
"""",Punctuation,네이버,1
',Punctuation,네이버,8
(,Punctuation,네이버,2
),Punctuation,네이버,2
+,Punctuation,네이버,1
",",Punctuation,네이버,106
",,",Punctuation,네이버,5
",...",Punctuation,네이버,1
-,Punctuation,네이버,1
-;;,Punctuation,네이버,1
.,Punctuation,네이버,419
".""",Punctuation,네이버,1
.',Punctuation,네이버,1
..,Punctuation,네이버,118
..',Punctuation,네이버,1
"..,,..,,..",Punctuation,네이버,1
...,Punctuation,네이버,122
...-,Punctuation,네이버,1
....,Punctuation,네이버,17
.....,Punctuation,네이버,1
......,Punctuation,네이버,1
.......,Punctuation,네이버,1
.................^^^^^^,Punctuation,네이버,1
.....;;;,Punctuation,네이버,1
...?,Punctuation,네이버,2
..;;,Punctuation,네이버,1
..?,Punctuation,네이버,1
.;;,Punctuation,네이버,1
0,Number,네이버,2
1,Number,네이버,3
10,Number,네이버,4
10년,Number,네이버,3
10분,Number,네이버,1
10월,Number,네이버,1
12년,Number,네이버,2
140,Number,네이버,1
14년,Number,네이버,1
15,Number,네이버,14
1년,Number,네이버,2
1등,Number,네이버,1
20,Number,네이버,3
2000년,Number,네이버,1
2004년,Number,네이버,1
2005년,Number,네이버,1
2006년,Number,네이버,1
2019년,Number,네이버,1
20년,Number,네이버,1
2~3년,Number,네이버,1
3,Number,네이버,1
30,Number,네이버,2
30시,Number,네이버,1
32,Number,네이버,1
35,Number,네이버,1
3일,Number,네이버,2
4,Number,네이버,2
50,Number,네이버,1
5년,Number,네이버,1
5분,Number,네이버,1
64636786579,Number,네이버,1
7,Number,네이버,1
7년,Number,네이버,2
8년,Number,네이버,1
9,Number,네이버,1
:,Punctuation,네이버,4
;;,Punctuation,네이버,1
;;;;;,Punctuation,네이버,1
?,Punctuation,네이버,29
??,Punctuation,네이버,2
???,Punctuation,네이버,1
