type	text
네이버	아무 것도 없을 땐 자신이 외로운 줄도 모른다사랑을 하면서 자신이 그동안 외로웠다는걸 깨닫는다그리고 사랑이 끝나면 외롭지 않을수도, 처음처럼 외로움을 모를수도 없게된다.
네이버	마지막에 츠네오가 조제를 떠난 건 결코 그의 사랑이 동정이 아니였음을 보여준다
네이버	나도 장애인에 대한 편견을 가진 뻔한 가식덩어리었다. 왜 이런 소재의 사랑은 영원해야한다고 생각했을까.
네이버	나는 혼자 깊은바다 밑에서 데굴데굴 굴러다니게되겠지. 그래도 그것도 나쁘지않아.
네이버	조제를 장애인이 아닌 한명의 인간으로 대하는 츠네오에 반해 우리는 조제를 단순히 불쌍한 사람으로 보고 있지는 않은가? 상대에 대한 솔직함은 사랑의 기본이자, 인간관계의 기본이다. 마지막 순간까지 조제에게 솔직했던 츠...
네이버	7년전쯤 봤을땐 특별한 사람이 하는 일반적인 사랑이야기인줄 알았는데지금보니까 일반적인 사람들의 특별한 사랑이야기 인거 같다
네이버	영화가 끝난뒤 찾아오는 이 미칠듯한 여운은 대체 뭘까
네이버	츠네오는 떠났지만, 세상으로 향한 창을 열어주었다.
네이버	조제에게 호랑이는 무섭고 냉혹한 현실, 물고기는 깊은 바닷속 자신만의 세상. 둘은 호랑이를 함께 봤지만 물고기는 끝내 보지 못했다. 슬픈 영화다.
네이버	사랑은 이기적이다, 이별은 더 이기적이다
네이버	호랑이를 같이 볼 수 있는 남자를 만났지만, 결국 물고기의 자리로 돌아가게된 사랑.
네이버	글쎄... 남자가 현실을 택했다고 볼지 모르겠네요. 영화 보는 사람따라 다른 것 같은데 이제 조제를 사랑하지 않는 것이었겠죠. 마지막에 조제역시 변하잖아요. 조제가 비록 장애인이지만 연인인 두 사람의 결말도 보통의 ...
네이버	츠마부키사토시 마지막  울  때  너무 슬펐음.ㅠㅠㅠ
네이버	이 영화를 장애인의 사랑으로 보고 츠네오를 욕하는 사람이 있다는게 놀랍다. 어느 연인에게나 있는 만남과 사랑과 이별을 단지 조제가 장애인이라는 이유로 다르게 본다는것 자체가 자신의 장애인에 대한 편견을 반증하는 것이...
네이버	사랑은 현실이다. 그래서 언제나 새드앤딩이다.
네이버	내가 본 일본영화 중에서 가장 독보적인 수작이다. 그는 장애인의 사랑이 아닌 결점을 가진 한 인간의 사랑을 통한 성장과 이별을 얘기하고자 했다. 어설픈 신파극과 코믹이 난무하는 한국영화계에 배울 점을 던지고 있다.
네이버	츠네오의 마지막 대사 "헤어진 여인과는 가끔 연락할 수도 친구처럼 지낼수도 있다. 하지만 조제는 다시는 볼 수 없을 것이다." 그 말이 시간이 지나고 내 가슴에 오래도록 남았다. 그리고 이 말이 이해되...
