,nickname,text,score,like,dislike,time,watch_movie
0,옥후(zzmi****),진짜 마더랑 친절한금자씨는 너무 말도 안되게 평점이 낮아,9,2047,88,2013-05-15 07:46:00,0
1,파브레가스(wjsq****),개봉당시 가장 과소평가받은영화 ㅠㅠ 올드보이보고 반전을 기대하던 관객들이 실망한듯.. 하지만 복수에대한 고찰은 더뛰어나다고 생각,10,1384,42,2013-08-07 23:03:00,0
2,카르텔(hg97****),아름다움이 너무 넘쳐나서 기괴할 정도로 아름다운 영화.,10,1077,38,2013-05-29 03:49:00,0
3,밀워키(oaks****),역시 박찬욱.나는 감독이다. 이게 10점이다 입증!!,10,838,47,2013-06-08 03:20:00,0
4,앤트워프(cary****),평점 이게 말이 되나.... 칠번방보다 낮네,10,825,40,2013-08-16 06:14:00,0
5,김보경(hila****),"진짜 재미있다... 사람은 죄를 짓고 끊임없이 속죄하려하고 깨끗한 영혼으로 살아가려 하지만, 사람은 그럴수 없다.. 너무 맘에 들고 결말도 깨끗하고 하얗고... 디게 슬퍼요... 사색에 잠기네요..",10,595,21,2013-06-03 00:55:00,0
6,노란돼지(didi****),시간이 지날수록 가치가 빛나는 영화,9,572,20,2013-03-04 00:07:00,0
7,tang****,잔인한 폭력과 살인도 아름답게 만드는 박찬욱 영화의 매력. 빠져드는 영상미와 시적인 미스터리를 보여줬으나 강렬함은 다소 부족.,8,598,82,2013-06-26 01:14:00,0
8,유자(drag****),살인자가 만든 케이크처럼 예쁘지만 불편한 전개. 그럼에도 불구하고 사랑할 수 밖에 없는 금자씨.,10,517,23,2013-09-05 18:46:00,0
9,ivan****,이영애 미모 넘.. 집중이 안되...,8,583,90,2013-06-03 05:48:00,0
10,별명업졍(jiun****),단순히 잡아죽이는 헐리웃 복수극이 아니다 충분히 세련되고 새로운 느낌의 복수극이고 또 배역에게서 어느정도의 거리감을 두게 한다 복수의 당위성을 강요하지도 않고 복수 그 자체가 중요한것도 아니다,10,371,15,2013-08-28 14:35:00,0
11,숨인(rla3****),마지막에 피해자부모님들이 계좌번호를 준 이유는 유괴당했을땐 돈을 억만금을줘도 애기를 찾고싶어했을만큼 간절했을텐데피나는 복수를 마친후에 계좌번호를줘서 돈은 입금해주나요하면서 돈을 챙긴다는건 그만큼 무덤덤해졌다는것 아닐...,10,360,15,2013-11-30 12:42:00,0
12,kanyewest(yubj****),"별 거 아니지만 엔딩 크레딧이 올라갈때 주연배우들이 아닌 가장 먼저 출연했던 성가대 배우들부터 순서대로 올라가던게 개인적으로 되게 인상적이였다... 영화 자체도 좋았고, 배우들의 연기력도 정말 좋았다. 진짜 저평가된...",10,338,3,2016-06-13 02:34:00,0
13,피넛(pnut****),화장실 장면이 너무 좋았다. 유지태가 입 막는 장면에서 소름돋음ㅠ 그 아이에게는 이제 이금자나 최민식이나 똑같다는걸 이야기하는듯 ?,6,371,57,2013-04-10 23:14:00,0
14,유키노하나(noyj****),"이영애씨 연기가 일품입니다. 가끔 생각이 나요. 대사 한마디, 한마디.",10,299,8,2013-05-04 21:32:00,0
15,어머나(qkrd****),9년이지난 지금도 세련됐다 또봐도 입쩍벌어지게보게되는영화 평점왜이래,10,280,6,2014-02-26 04:52:00,0
16,ehds****,캐스팅 진짜 쩌는 영화 ㅋㅋㅋ,9,273,7,2013-03-02 16:55:00,0
17,카이스(wjia****),아이래서이영애이영애거리는거구나..,10,273,16,2013-04-02 21:58:00,0
18,mini****,진짜 이상하네..왜 이렇게 평점이 낮은게야?,10,254,15,2013-08-28 18:51:00,0
19,맛스타(magd****),복수 삼연작 중 가장 와닿는 주제의식을 가지고 있으며 완결편으로 딱이라 생각함.,10,240,6,2013-08-19 22:07:00,0
20,asdf****,정말좋아하는영화....우리나라에 이런 과감한시도를 하는ㅅ색깔있는 감독이 많이나와야한다고 생각함.,10,183,2,2013-04-16 22:34:00,0
21,원더(irim****),이런 독특한 시도를 할 수 있는 감독은 우리나라에 몇 되지 않는 듯,10,152,3,2013-03-09 04:39:00,0
22,바ㄱ바ㄱ(gago****),조력자들의 동기부여신이 부족하다 하시는분있는데 금자씨가 마녀를 죽이려고 3년동안 락스를 탔다는 대사가 나오죠그말은 그 조력자들이 최소 삼년동안 지독한 학대를 받았고 그걸 해결해준 금자씨를 도와주는 동기부여신은 충분하...,10,151,6,2014-07-21 20:25:00,0
23,암페타민(iiru****),단언컨데 최고..,10,142,5,2013-09-08 22:21:00,0
