type	text
네이버	진짜 마더랑 친절한금자씨는 너무 말도 안되게 평점이 낮아
네이버	개봉당시 가장 과소평가받은영화 ㅠㅠ 올드보이보고 반전을 기대하던 관객들이 실망한듯.. 하지만 복수에대한 고찰은 더뛰어나다고 생각
네이버	아름다움이 너무 넘쳐나서 기괴할 정도로 아름다운 영화.
네이버	역시 박찬욱.나는 감독이다. 이게 10점이다 입증!!
네이버	평점 이게 말이 되나.... 칠번방보다 낮네
네이버	진짜 재미있다... 사람은 죄를 짓고 끊임없이 속죄하려하고 깨끗한 영혼으로 살아가려 하지만, 사람은 그럴수 없다.. 너무 맘에 들고 결말도 깨끗하고 하얗고... 디게 슬퍼요... 사색에 잠기네요..
네이버	시간이 지날수록 가치가 빛나는 영화
네이버	잔인한 폭력과 살인도 아름답게 만드는 박찬욱 영화의 매력. 빠져드는 영상미와 시적인 미스터리를 보여줬으나 강렬함은 다소 부족.
네이버	살인자가 만든 케이크처럼 예쁘지만 불편한 전개. 그럼에도 불구하고 사랑할 수 밖에 없는 금자씨.
네이버	이영애 미모 넘.. 집중이 안되...
네이버	단순히 잡아죽이는 헐리웃 복수극이 아니다 충분히 세련되고 새로운 느낌의 복수극이고 또 배역에게서 어느정도의 거리감을 두게 한다 복수의 당위성을 강요하지도 않고 복수 그 자체가 중요한것도 아니다
네이버	마지막에 피해자부모님들이 계좌번호를 준 이유는 유괴당했을땐 돈을 억만금을줘도 애기를 찾고싶어했을만큼 간절했을텐데피나는 복수를 마친후에 계좌번호를줘서 돈은 입금해주나요하면서 돈을 챙긴다는건 그만큼 무덤덤해졌다는것 아닐...
네이버	별 거 아니지만 엔딩 크레딧이 올라갈때 주연배우들이 아닌 가장 먼저 출연했던 성가대 배우들부터 순서대로 올라가던게 개인적으로 되게 인상적이였다... 영화 자체도 좋았고, 배우들의 연기력도 정말 좋았다. 진짜 저평가된...
