type	text
네이버	퍼시픽림보고 느낀건데, 트랜스포머1 만한건 다신 못볼것같다..
네이버	시간이 흐를수록 깨닫게 된다. 로봇영화가 계속해서 나오지만 트랜스포머1만큼의 감동은 없다는것을. 퍼시픽림을 보고 나서 다시금 깨달았다. 이 영화는 재평가받아야한다. 걸작이다.
네이버	CG의 한획을 그었지
네이버	영화관에서 못본게 한이된다
네이버	이 영화 보고 처음 걸어나왔을때 주변에 있는 차들이 다 변신할것만 같았는데..
네이버	진짜 대박
네이버	트랜스포머4를 보고 1은 명작이었음을 다시 깨닫는다
네이버	어떻게 이런 영화가 7번방의 선물하고 동급이냐 ?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ눈물자극하면서 감동주면 7점 먹고가는거?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ...
네이버	진심 트랜스포머 시리즈  1, 2, 3, 편 중 1편이 최고였음!
네이버	이게 나온지 6년이 지났는데도 왜 아직 이만한 로봇영화가 안나오는 것인가? 난 비록 퍼시픽림도 재밋게 봤지만 캐릭터,스토리까지 다 따져보면 트포1편이 압도적으로 수작이네......
네이버	이건 CG의 교과서이자 불후의 명작이지... 처음 영화관에서 단순한 로봇영화인줄 알고 봤다가 변신하는 장면에 쇼크를 느낀 그순간을 잊을수 없다. 집가는길에 지나가는 자동차들이 금방이라도 변신할것처럼 보이는 이 센세이...
네이버	처음 옵티머스프라임 변신장면때의 소름은 아직도 잊혀지지가 않는다. 그 어떤 로봇영화보다도 감동적이였다...
네이버	도대체 마이클베이는이 영화만들고 7년간 무슨 일이 있었던거냐
네이버	내생애 최고의 액션로봇영화 ㅋ내꿈이 로봇조종사 ㅋㅋㅋ 였던 때가 있었지 그만큼 로봇애니를 엄청 보고 자랐는데 애니가 아닌 영화로 보는 순간 숨이 멈춰버릴것 같았다 스토리가 다소 떨어지지만 이 영화는 보는 즐거움 때문...
네이버	처음 이영화를봣을때의 전율은 아직도 잊을수없다.. 이게 2007년영화엿다는게 지금생각해보니 소름
네이버	이거 최소 9.5이상 받아야 정상인듯... 내가 mp3담아서 400번 넘게봄 진심. 덤으로 자막빼고 봐서 영어 대사 다 외웠음.
네이버	이건 내가 지금까지 본 영화중에 진짜 최고다 한 5번은 본것같지만 아무리 봐도 처음 봤을때의 감동이 계속 느껴지는 최고의 작품. 퍼시픽림은...쨉도 안된다
네이버	스토리고 뭐고 사실 시리즈 최고이고, 첫변신장면의 컬쳐쇼크를 잇을수가 없다.
네이버	초반 블랙아웃의 공격은 정말 충격이었다.  1편만한 작품 나오기 힘들듯.
네이버	퍼시픽림을 보고난후..정말 이만한 영화 없다고 다시 생각됨....
네이버	그 당시 혁명의 영화. 지금봐도 꿇리지않는 작품
네이버	너네 이거 아직도 cg로 알고있네?
네이버	이때 개봉당시에 진짜 영화계의 새로운 역사가 쓰여진 만큼 센세이션 일으킨 작품
네이버	역시 1편을 능가하는 속편없다더니 역시나 모든 기좀 오토봇과 디셉티콘의 대결이 아주 깔끔하고 매력적이게 표현됀다 지상최대의 철거 영화 샤이아 라보프도 만날수있는 아주 좋은영화 그리고 여주인 메간 폭스 짱짱맨!!!
네이버	결국 이 영화도 고전을 향해 달려가는구나...
네이버	개봉 둘째날 재미있게 본영화....  정말 극장에서 봐야 재맛을 느낌..
네이버	어떤 트랜스포머도 1편만 못하다.
네이버	그 짜릿했던 강렬한 느낌은 대작 아바타를 보고도 느낄 수 없었음   물론 그 이후 개봉된 트랜스포머 시리즈로도 그 감동을 채우기에 역부족 ㅠ_ㅠ
네이버	사람들은 트랜스포머1이 개봉했을 때, 역대급 로봇 영화가 나왔다가, 앞으로가 기대된다고 했었지. 그러나 2부터.... (주륵)
네이버	헐.. 이게 2007년 영화였어?? 이미 미국 CG 기술은 넘사벽인듯..
네이버	트랜스포머1은 혁명이었다
네이버	후속 시리즈가 계속 될수록 얼마나 수작이였는지를 느낄수있는 영화. 오프닝에서 느낀 오르가즘은 정말 체고시다.
네이버	만화같은 스토리를 흥미롭게 전개 시키는군
네이버	난 아직도 트랜스포머1을 극장에서 봤을때의 그 벅찬떨림을 잊을수가 없다. 여러요소로 저평가받고있지만 나에게는 최고의 영화. 트포4를 보고 너무 실망했지만 아직도 이시리즈를 놓지 못하게 하는게 옵티머스라는 캐릭터와 그...
네이버	범블비가넘귀여움ㅋ.ㅋ진짜귀여움
네이버	젤 첫장면에서 헬기가변신할때첫장면은 진짜잊을수없다영화보고 처음으로입이벌어지드라
네이버	재미,감동 둘다잡았다. 굿
네이버	변신 장면 하나로도 눈이 호강
네이버	오늘 트랜스포머5를 보고와서 느꼈다. 1편 찬양 하러 왔어요.
네이버	이거랑 디워랑 비교하는건 정신이 나간 짓이다.
네이버	범블비 보고왔는데 그냥 이거 다시보고싶더라
네이버	재조명받아야할 작품임에 틀림이없다혁명이다
네이버	트랜스포머 1 ~ 3 까지 모두 봤지만 진짜 트랜스포머 1은 대박이다
네이버	역시 일편이 제일 나은듯
네이버	범블비보고 순례온 사람 공감
네이버	진짜 개잼존잼 1이 최고다진짜
네이버	재밌게본 영화예요~^^
네이버	이 때까진 좋았는데 2편부터...
네이버	로봇영화 중에 젤로 대작인게 트랜스포머 1편인듯... 그이후론 후속작들도 따라잡지못하는 시리즈1편....마이클베이는 오히려 초심일때가 넘사벽이었다..
네이버	1편때만 해도 로봇들이 인간미가 넘쳐서 좋았다 하지만 2편부터는 옵티머스 혼자 다 해먹고 나머지 부하들은 전부 병풍으로 전락해버렸다
네이버	1편이 제일 잼있었음 이건 혁명이었다.... 아마도...
네이버	이건 재개봉 한번더 해도 괜찮을듯
네이버	이 영화가 벌써 7년전 ...와 새로생긴 영화관에서 본 영화 아직도 잊혀지지 않는다
네이버	내가 여태까지 안본게 후회되고...하여튼 완전 ....말이 않나올정도로 좋다!.다리가 후들거리고 손도 떨리슨 기분이야..ㄷㄷㄷ
네이버	개봉날 극장에서 봤는데 도입부에 블랙아웃이 변신하는 순간 느꼈던 전율을 잊을수가 없다.. 10년이 지나도.
네이버	애들이나 보는 로봇만화영화수준으로 생각하고 갓는데 그것은 나의 큰 오산이엿다...
네이버	재밌게 잘봤습니다 그 중 메가트론이 멋있네요
네이버	이건 진짜 봐도 봐도 잼있네.
네이버	처음 트랜스포머를 접했을 때 벌어진 입이 다물이 지지 않고 영화를 관람했다.
네이버	진짜 이거 한번도 안본 눈이 있다면 구입하고 싶다. 처음 봤을때의 그 느낌을 다시 느껴보고 싶다.
네이버	트랜스포머1이 평점 9점대가아니라는거에놀랐다
네이버	내생에 젤 기대했고 젤 놀라웠던영화 이런 영화는 다신 없겟지
네이버	말이 필요가없는 최고의 로봇영화이다.
네이버	마이클베이가 말하길"전 재즈가 싫어요 목소리가 흐긴틱하더군요"1점 깍았습니다.전체적으로영화는 좋은데 사적인 감정으로 등장인물 죽이는 건 너무한거 아닌가 하네요
네이버	트랜스포머1 처음 극장에서 봤을 때로 돌아가고 싶다
네이버	1편에서 끝냈어야한다..뒤로갈수록 할말이없다재방봐도 설렘
네이버	ㅋㅋ사람들 진짜 2007년도때 평점보면 걍CG보는맛이었다니  스토리가 꽝이라느니 하든데 지금평점 작살나네 뭐  다시는 못볼영화다,CG한획을 그었다,스토리 압도적이었다.ㅋㅋ평점보면서  진짜 웃었넼ㅋㅋ
네이버	진짜 CG 뿐만 아니라 영화사에 한 획을 그은 수준이지 ㅋㅋ 아바타랑 비교해야지 7번방의 선물 같은 신파극 따위랑 비교하냐?
네이버	9점초반대로 올라가야 할 영화
네이버	비록 지금은 범블비가 반응이 좋지만 한떄 10년을 넘는 세월동안 트랜스포머 영화 중 가장 반응이 좋았던 영화  you're a soldier now의 하이라이트 에 맞춰 변신하는 옵티머스의 모습은 정말 멋있었...
네이버	트랜스포머는 1이 최고다 (범블비 보고 옴)
네이버	시리즈가 계속 나올수록 1편의 평점이 계속 오르고 있어 ㅋㅋㅋ
네이버	트랜스포머1:말로 표현 못하는 대단한 명작
네이버	1편을 뛰어넘을 후속작은 안나올듯 아직도 처음봤을때의 전율은 잊을 수가 없다. 스토리도 또한 후속작들 보다는 나았다.
네이버	이 영화가 어떻게 8.84밖에 안된는거지진정한 수작이자 cg의 교과서.작품성도 빠지는 구석이 없음재개봉해야한다ㅠㅠ영화관에서 못본게 한이된다
네이버	로봇영화는 별로일거라는 편견을 박살내준 영화.
네이버	형만한 아우 없다는 사실을 몸소 증명하는 대표적인 예
네이버	트렌스포머는 블록버스터의 혁명이였죠. 수년이 지난 지금도  이 보다 더 재미있는 블록버스터 영화가 있나 의문이네요. 전문가, 평론가라는 사람들이 매긴 평점이 5.25.... 이러니 국내영화는 항상 조폭영화, 3류 코...
네이버	트랜스포머 시리즈 이제서야 처음봄... 아 옵티머스,범블비는 짱짱맨ㅋㅋㅋ
네이버	1편이 진리인듯  2  3편에서 느낄수없는 설렘이 있었음 진짜  이런 로봇생명체가 우주 어딘가 잇을것만 같이  로봇덕후인 내게 꿈과 희망을 주엇음
네이버	범블비보고 사람들이 1편이랑 비빈다길래 어쩌다 다시 보게 됐지만 12년이 지나도 1편만한 속편이 없다. 재미도 재미지만 믿을 수 없이 정교한 CG... 트랜스포머 1편은 영화 역사계에 한 획을 그은 걸작이다.
네이버	트포1 나왔을때 센세이션은 지금의 어벤져스보다 더했다 며칠간 실검1위에서 내려오질 않았으니.. 쥬라기공원1 이후 최고의 비주얼쇼크였다 정말..
네이버	이제 트포4 개봉 하루앞두고있는데 1만큼 재밌길ㅋㅋ~
네이버	이 영화를 영화관에서 처음 봤을때 충격이 가시질 않는다.. 완벽한 CG
네이버	이건 진짜 영화에 비해 평점이 너무 낮다. 적어도 9.3까지는 올라가야 한다.
네이버	범블비 보고 나니까 트랜스포머  보고싶어짐.  트랜스포머 1편만 명작 인정한다.
네이버	이제 12년전 영화가 되는구나... 명작 로봇영화
네이버	솔직히  다른걸 떠나서 1은  cg만으로도 당시에 충격적이었다.
네이버	트랜스포머는 진짜 희대의 명작으로 남을것 같다.
네이버	왜 트랜스포머 후속편은 1편을 능가를 못하냐? ㅋ심지어 변신CG도 1편이 제일 뛰어남. 아 그리고 메간폭스 리즈시절~특히 의미없는 회색 엑스트라 로벗들이 안나온 유일한 트랜스포머 작품. 이게 베이 감독이 지멋대로 만...
네이버	극장에서 보고 진짜 한동안 계속 뇌리에서 사라지지 않던 기억이...
네이버	극장에서 본영화중 최고였다..영상에 압도된 충격과 흥분을 잊을수가없다
네이버	11년 전에 봤을 때도 소름 돋았는데 다시 봐도 소름돋는다. 10년 이상 지난 영화라는 생각이 안든다.
네이버	바리케이트 목소리가 진짜 소름이였음.
네이버	엑스맨 데이즈 오브 퓨쳐 패스트 같은 시리즈 만들어서 다시 이떄로 돌아 갔으면...
네이버	어떻게 이런 생각을 했을까... 대단하다... 디셉티콘과 오토봇의 힘이 비슷했다.
네이버	첫 변신장면 개소름 리얼 충격쇼크 문화컬쳐
네이버	마이클베이는 열라 나쁜놈이다...이걸 망치다니
네이버	영상도 영상이지만 bgm마저 가슴을 뛰게 만든다...
네이버	CG의 한 획을 그은 영화....ㄹㅇ 너무 시대를 앞서간 영화다...재개봉 부탁드립니다ㅠ
네이버	내용을 떠나 이영화 이거슨 Cg 산업계의 일대 혁명이다. 이건 아바타 보다도 더 강력했다..이게 나오고 아이언맨이 나올수 있었지..그리고 어벤져스도..우리가.지금보고 있는 수많은 히어로물의 효시적인 그래픽.터미네이터...
네이버	놀라운 사실은 이 영화가 벌써 10년이 됐다는것이다.
네이버	봐도봐도 1편이그립다
네이버	개봉당시 영화관에서 봤는데 신세계였음. 보고 나오는 길에 모든 차가 변신할거같은 착각을 불러일으킬정도로 현실감있었고 재밌었는데... 샤이아라보프 연기하나는 일품이고 10년이 지나서 봐도 재밌다. 이런메카닉영화는 안나...
네이버	솔직히 1편은 우주명작이라 생각한다
네이버	이런 영화를 영화관에서 볼 수 있었다는 게 영광이었다...
네이버	다른 시리즈는 몰라도 1편은 진짜 수작이다..
네이버	정말 소름끼치는 작품이다!! 조폭 형사 살인범들 쳐나오는 영화만 만들어대는 한국 영화는 지구가 멸망할때까지 절대 만들수 없는 영화이다!
네이버	트랜스포머1은 나에게신선한충격과 로봇을사랑하는계기가된영화♥지금8년째 트랜스포머광팬이다♥♥♥♥
네이버	진짜 신선한 충격을 준 영화
네이버	메가트론 어이없게 죽었지만 2편에서 살아나니까10점
네이버	2007년..개봉당시..보고나서 정말..영화의 기술이 어디까지 발전할지 엄청난 기대감을 더 갖게 해준 작품...진짜 변신할때는 충격과 소름이였다...
네이버	변신로봇의 실사화를 처음봤을 때의 감동+현대 무기열전
네이버	트랜스포머1은정말내인생의최고의영화다 모든장르를다갖춘영화다
네이버	트랜스포머정말사랑하고잇어요...집에로봇들도잇구요...해리포터처럼오래오래갓으면좋겠어요ㅠㅠ이제그만햇으면하시는분들도계신데...신경끄세요!!!2017년?시즌5기달리고잇을게요...♥♥트랜스포머사랑해요♥♥옵티머스프라임그리고범블...
네이버	터미네이터2 이후 그런 충격은 처음이었고 13년이 지난 지금까지도 트랜스포머1같은 충격적이고 신선하고 잼난 영화는 없었다
네이버	처음 헬기(블랙아웃)변신 장면은 OO레전드;;;
네이버	처음부터 마지막 ost까지 싹 다 사기임.마지막에  스크린 내려가면서 린킨파크 노래 나올 때 지렸음.
네이버	진짜 재밌고 범블비외에는 이거보다 재밌는 건 없는거같다
네이버	옵티머스 프라임이 샘 윗위키와 메간폭스를 만들어준 영화. 지금은 안보이지만;;
네이버	10번넘게본듯 그래도1편이 최고
네이버	범블비 보고 이거봤는데 이건 진짜 보고 또봐도 대작이라는 생각이 듦..
네이버	세계  최고의 로봇영화.
네이버	정말 재밌네 주말마다 봐야지~~~~
네이버	완벽한 타인같은건 9점을 받고 이런 명작중의 명작이 8.8??진짜 개말도 안된다
네이버	명작의 처음이자 끝이지
네이버	거대로봇물 영화는 이게 최고임
네이버	왜 요즘 나오는 트랜스포머 영화는 이거의 발톱 때도 못따라오냐
네이버	전설로 남을 영화. 진짜 전설이 되었음
네이버	말도 안되는 몰입도로 어느순간 엔딩곡을 듣고 있는 자신을 발견했다
네이버	트랜스포머는 역시 1편이  가장 재미있다.
네이버	어째 1편 cg가 더 깔끔하고 낫냐
