terms,pos,type,count
!,Punctuation,네이버,15
!!,Punctuation,네이버,6
!!!,Punctuation,네이버,6
!!!!,Punctuation,네이버,2
!!.,Punctuation,네이버,1
!.,Punctuation,네이버,1
!^^,Punctuation,네이버,1
"""",Punctuation,네이버,2
',Punctuation,네이버,3
(,Punctuation,네이버,4
),Punctuation,네이버,4
+,Punctuation,네이버,2
",",Punctuation,네이버,45
",,",Punctuation,네이버,1
",,!",Punctuation,네이버,1
",..",Punctuation,네이버,1
-,Punctuation,네이버,2
-_-;,Punctuation,네이버,1
.,Punctuation,네이버,203
..,Punctuation,네이버,77
...,Punctuation,네이버,97
...!!,Punctuation,네이버,1
"...,",Punctuation,네이버,1
....,Punctuation,네이버,27
.....,Punctuation,네이버,1
......,Punctuation,네이버,1
.......,Punctuation,네이버,1
..=_=,Punctuation,네이버,1
1,Number,네이버,137
10,Number,네이버,10
10년,Number,네이버,26
10분,Number,네이버,1
11년,Number,네이버,2
12년,Number,네이버,3
13년,Number,네이버,3
17년,Number,네이버,1
1만,Number,네이버,3
1초,Number,네이버,1
2,Number,네이버,14
20,Number,네이버,1
2000년,Number,네이버,2
2006년,Number,네이버,1
2007년,Number,네이버,10
2017년,Number,네이버,2
2019년,Number,네이버,1
24,Number,네이버,1
2~3,Number,네이버,1
2시간,Number,네이버,2
3,Number,네이버,14
30,Number,네이버,1
30년,Number,네이버,1
4,Number,네이버,11
400,Number,네이버,1
5,Number,네이버,9
5.25,Number,네이버,1
5분,Number,네이버,1
6,Number,네이버,3
6년,Number,네이버,1
7,Number,네이버,3
7년,Number,네이버,2
8.8,Number,네이버,1
8.84,Number,네이버,1
8년,Number,네이버,1
9,Number,네이버,4
9.3,Number,네이버,1
9.5,Number,네이버,1
9년,Number,네이버,1
:,Punctuation,네이버,2
::;;;,Punctuation,네이버,1
;';,Punctuation,네이버,1
;;,Punctuation,네이버,2
;;;,Punctuation,네이버,3
=,Punctuation,네이버,1
>,Punctuation,네이버,1
?,Punctuation,네이버,15
??,Punctuation,네이버,4
Aarrive,Alpha,네이버,1
Arrival,Alpha,네이버,1
Bumblebee,Alpha,네이버,1
CG,Alpha,네이버,33
Cg,Alpha,네이버,2
D,Alpha,네이버,1
IMAX,Alpha,네이버,1
My,Alpha,네이버,1
OO,Alpha,네이버,6
OOO,Alpha,네이버,1
OST,Alpha,네이버,1
Optimus,Alpha,네이버,1
Prime,Alpha,네이버,1
SF,Alpha,네이버,4
TCU,Alpha,네이버,1
^^,Punctuation,네이버,2
_,Punctuation,네이버,1
_-,Punctuation,네이버,1
a,Alpha,네이버,1
bgm,Alpha,네이버,2
cg,Alpha,네이버,22
cgv,Alpha,네이버,2
earth,Alpha,네이버,2
is,Alpha,네이버,1
mp,Alpha,네이버,1
name,Alpha,네이버,1
now,Alpha,네이버,1
ost,Alpha,네이버,3
re,Alpha,네이버,1
sf,Alpha,네이버,3
soldier,Alpha,네이버,1
to,Alpha,네이버,2
you,Alpha,네이버,1
~,Punctuation,네이버,9
~!,Punctuation,네이버,1
~^^,Punctuation,네이버,1
~~,Punctuation,네이버,3
~~~,Punctuation,네이버,1
~~~~,Punctuation,네이버,1
‘,Foreign,네이버,1
’,Punctuation,네이버,1
♥,Foreign,네이버,1
♥♥,Foreign,네이버,2
♥♥♥♥,Foreign,네이버,1
ㄱ,KoreanParticle,네이버,2
ㄱㄱ,KoreanParticle,네이버,1
ㄷ,KoreanParticle,네이버,2
ㄷㄷ,KoreanParticle,네이버,2
ㄷㄷㄷ,KoreanParticle,네이버,1
ㄸ,KoreanParticle,네이버,1
ㄹㅇ,KoreanParticle,네이버,5
ㅇ,KoreanParticle,네이버,1
ㅇㅇ,KoreanParticle,네이버,2
ㅇㅇㅇㅇ,KoreanParticle,네이버,1
ㅈ,KoreanParticle,네이버,2
ㅋ,KoreanParticle,네이버,5
ㅋㅋ,KoreanParticle,네이버,15
ㅋㅋㅋ,KoreanParticle,네이버,7
ㅋㅋㅋㅋ,KoreanParticle,네이버,2
